Job Title,Company Name,Location,Sector,Job Type,Salary,Job Responsibilities,URL Link
"Senior Analyst, Business Analyst ( Testing)",AIA Digital+ Malaysia,Kuala Lumpur,Business/Systems Analysts (Information & Communication Technology),Full time,,"Are you ready to shape a better tomorrow? AIA Digital+ is a Technology, Digital and Analytics innovation hub dedicated to powering AIA to be more efficient, connected and innovative as it fulfils its Purpose to help millions of people across Asia-Pacific live Healthier, Longer, Better Lives. If you are hungry and driven to play an active role in shaping a better tomorrow, we want to hear from you. Because the work we do at AIA Digital+ makes a difference in the lives of millions of people, every day. We will equip you with the critical skills, tools and technology, and endless opportunities to learn, contribute and thrive in a dynamic and exciting environment. Responsibilities: Assist on delivery of IT solutions / process revamp to support various business initiatives Required to involve in discovering workshop to understand the user requirement, process flow, user journey, etc Perform requirements analysis, documents requirements, and revises existing system logic, business processes and workflows as necessary Identity business needs and define actions to improve the operation of a IT systems Create and updates system documentation Manage internal stakeholders to drives SIT / UAT Document requirements, evaluate scenarios, and execute changes needed to respond to requirements Identify test scenarios, develops test scripts, and creates expected results for use in test cycles Analyse test outcomes to ensure proper management and remediation of identified defects Skills: Working experience in business analysis. Possess business techniques on facilitating change of the business flow Strong analytical and problem-solving skills Able to work independently, and work with cross-function teams Able to deliver results in short timeframe and adaptable to changes Strong interpersonal skill and communication skill",https://my.jobstreet.com/job/82584347?type=standard&ref=search-standalone&origin=jobCard#sol=3fdceaa87cc3005e60ef791fae6bb03e38f624ee
Business Analyst (Mobile Applications),AIA Digital+ Malaysia,"Bukit Bintang, Kuala Lumpur",Business/Systems Analysts (Information & Communication Technology),Full time,,"Why Us? International working environment for the Tech division in AIA Exposure to working on major projects from AIA Asia Pacific Leading on fintech field for Digital Transformation & Data Analytics Hybrid working arrangement Sponsorship on most learning programs and enhancement courses Employee Share Purchase Plans Various Paid Time Off (AL, MC, Birthday Leave etc) Comprehensive Insurance Coverage for staff & dependents Attractive Salary & Compensations Tasks & Responsibilities Liaise with stakeholders to review, analyze, and evaluate business applications and user needs Perform requirements analysis, documents requirements, and revise existing system logic, business processes and workflows as necessary Identity business needs and define actions to improve the operation of IT systems Create user stories to manage requirements in Agile working model Manage internal stakeholders to drive SIT / UAT Line up application teams to come out with IT solution according to user requirements Qualifications & Experience 5 years or above BA experience on Mobile Application related projects. Have experience in Agile working model and user story writing. Comprehensive knowledge of software development process, including software design and programming Experience working in a collaborative team environment (onshore and offshore) Advanced knowledge and ability to perform GAP analysis, process mapping, root cause analysis, risk analysis and requirements gathering Excellent presentation, written and verbal communication skills Experience in Insurance Domain is advantageous but not necessary Having Testing Management experience is a plus",https://my.jobstreet.com/job/82580956?type=standard&ref=search-standalone&origin=jobCard#sol=5fb279abbdb5aa0a2306908ecadf9c10432953cd
Business Analyst,GoGeek Sdn Bhd,"KL Eco City, Kuala Lumpur",Business/Systems Analysts (Information & Communication Technology),Full time,"RM 5,500 – RM 8,250 per month","Job Summary: The role of a Business Analyst for an IT product is vital for ensuring that the final product aligns with business objectives and delivers value to users. They help create a bridge between technical teams and business stakeholders, ensuring a smooth and successful development process. The Business Analyst serves as a liaison between various stakeholders including business users and the IT department, translating business needs into functional requirements that guide the development of software solutions and process improvements. You need to gather, document, and analyze business requirements, identify opportunities for process enhancements, and contribute to the successful implementation of technology-driven solutions. Responsibilities: General: Assistance with Manager to lead the workflow between developers, designers and others team member. Requirement Gathering and Analysis: Collaborate with stakeholders to understand business goals, processes, and needs. Elicit and document clear and comprehensive business requirements. Analyze current business processes and systems to identify inefficiencies and areas for improvement. Translate high-level business objectives into actionable technical specifications. This involves conducting workshops and research to fully understand the needs and goals of the project. Ensure data accuracy, completeness, and consistency in all reporting deliverables. Create automated reports that provide regular updates to relevant teams. Solution Design: Develop detailed functional specifications and use cases based on gathered requirements. Collaborate with development teams to design solutions that align with business needs. Ensure proposed solutions are feasible and aligned with the organization's technological capabilities. This includes making decisions about UI/UX, data flow, and integration points. Process Improvement: Identify process bottlenecks and areas for optimization. Recommend process changes, workflow modifications, and automation opportunities to increase efficiency and productivity. Participate in discussions and workshops to drive continuous improvement initiatives. Stakeholder Communication: Act as a bridge between technical and non-technical teams. Clearly communicate requirements and expectations to developers and other team members, and translate technical concepts back to business stakeholders. Present findings, proposals, and progress updates to both technical and non-technical audiences. Documentation: Create and maintain comprehensive documentation of business requirements, functional specifications, and project-related materials. Create detailed requirement documents, such as user stories, use cases, and functional specifications. These documents outline the features, functionalities, and workflows that the IT product needs to have. Ensure all documentation is accurate, up-to-date, and easily accessible for reference. Gap Analysis: Identify any gaps or inconsistencies in requirements and address them by working with relevant stakeholders. This helps prevent misunderstandings and ensures that everyone is on the same page. Change Management: Handle changes to requirements that may arise during the development process. Ensure that changes are properly assessed for impact and communicated to relevant parties. Testing and Validation: Assist in defining test cases and scenarios based on the requirements. Work with QA teams to ensure that the product is thoroughly tested and meets the specified criteria. User Acceptance Testing (UAT): Coordinate and support UAT with business users to ensure that the product meets their expectations and requirements before it is released. Project Support: Assist in project planning, estimation, and prioritization of tasks. Monitor project progress and communicate potential risks or delays. Work with the team to mitigate these risks and come up with contingency plans. Provide ongoing support during implementation and post-implementation phases. Take immediate response action on the issues. Requirements Prioritization: Collaborate with stakeholders to prioritize requirements based on business value, technical feasibility, and project constraints. This helps ensure that the most critical features are developed first. Continuous Improvement: Gather feedback from stakeholders after product releases and use it to improve future iterations of the product. Identify areas for enhancement and suggest improvements. Stay up-to-date with the latest trends and developments in the BI and analytics space. Identify opportunities for adopting new tools, methodologies, and best practices to enhance BI capabilities. Transfer of knowledge to other team members to build additional capacity. Plan the timeline for end-to-end project execution and assist in enforcement of project deadlines and schedules. Qualifications: Bachelor's degree in Computer Science, Information Technology, or related field (or equivalent work experience). Strong analytical and problem-solving skills. Excellent communication and interpersonal skills. Proficiency in requirement gathering techniques, documentation, and modeling tools. Knowledge of business process modeling and improvement methodologies. Knowledge of Agile methodologies is often beneficial Ability to create clear and concise documentation Familiarity with software development life cycle (SDLC) methodologies. Ability to work effectively in cross-functional teams. Experience in supporting PHP, JS (Vue / Node), Python, Golang, SQL (MySQL/Oracle) in microservices environment Familiar with cloud infrastructure like, kubernetes, CDN, Databases, S3, in microservices usage environment",https://my.jobstreet.com/job/82185999?type=standard&ref=search-standalone&origin=jobCard#sol=1cee2a620c3db8c4257535acb1201c65601b28f6
"Senior Analyst, Business Analyst",AIA Digital+ Malaysia,Kuala Lumpur,Business/Systems Analysts (Information & Communication Technology),Full time,,"Are you ready to shape a better tomorrow? AIA Digital+ is a Technology, Digital and Analytics innovation hub dedicated to powering AIA to be more efficient, connected and innovative as it fulfils its Purpose to help millions of people across Asia-Pacific live Healthier, Longer, Better Lives. If you are hungry and driven to play an active role in shaping a better tomorrow, we want to hear from you. Because the work we do at AIA Digital+ makes a difference in the lives of millions of people, every day. We will equip you with the critical skills, tools and technology, and endless opportunities to learn, contribute and thrive in a dynamic and exciting environment. Responsibilities: Capturing/document and structuring use cases. Analysing and developing functional specification documents. Identify and capture/document business goals and provide business solution to clients. Identify assumptions, constraints, issues, and risks. Play translator role between users and developers. Perform system testing and support users’ acceptance testing. Offer system training to users. Be responsible for system implementation. Be Familiar with insurance business. Requirements: Bachelor’s degree or above in IT related disciplines. Minimum 4-5 years in progressive IT Sector. Minimum 3 years of experience as a business analyst. Ability to analyze, interpret and communicate business information to both internal and external stakeholders of the project. Ability to build strong relationships with clients and team members. Be familiar with the methodology of requirements development and requirements change management. DB and Java developer experience is plus. Nice to be familiar with Agile/Scrum software development process. Experience with insurance institutions is plus.",https://my.jobstreet.com/job/82581022?type=standard&ref=search-standalone&origin=jobCard#sol=488c50e20c658cb57462f5d54298d7cb02784f16
Technical Business Analyst,TURNKEY LENDER SDN. BHD.,Kuala Lumpur,Programme & Project Management (Information & Communication Technology),Full time,,"The ideal candidate is a team player who will be responsible for working with company data in various business areas. Specific responsibilities include reporting metrics, analyzing methodologies, suggesting operation improvements, and building proposal evaluations in a cross-functional environment Responsibilities: Understand client’s business cases Assist PMs in finding the project creating a feature list for estimation purposes and project planning Strong communications skills Gather, analyze, organize and document requirements within the scope of the contract Translate business requirements into technical ones for the development team Manage requirements by creating use cases, specifications (including RTM, BRD, SRS, FRS), UML diagrams, wireframes, etc. Handle the change requests process and explain the approved change requests to the development team Present the completed project to the client and gain their acceptance Create user training manuals and other instructional guides Train the end users about the product during formal and informal presentations Design UI forms and business process logic Qualifications and Skills: Previous experience in Business / Systems Analysis or Quality Assurance A degree in IT / Computer Science Proven experience in eliciting requirements and testing Experience in analyzing data to draw business-relevant conclusions and in data visualization techniques and tools Solid experience in writing SQL queries Basic knowledge in generating process documentation Basic knowledge in UML Fluency in Microsoft Office suite (Outlook, Excel, Word, PowerPoint, etc.) Strong written and verbal communication skills including technical writing skills It would be a plus if you have had financial/lending experience.",https://my.jobstreet.com/job/82234286?type=standard&ref=search-standalone&origin=jobCard#sol=7bee3e227d188c088cb187582aa853e7327a5954
Business Analyst (Software Projects),TRADER2U SDN. BHD.,"Sungai Besi, Kuala Lumpur",Business/Systems Analysts (Information & Communication Technology),Full time,,"Job Description: Lead end-to-end software project lifecycles, ensuring all business requirements are captured, analysed, and delivered. Collaborate with cross functional stakeholders to gather, define, and refine business needs and translate them into technical specifications. Create and maintain comprehensive project documentation, including projects plans, requirements, and technical specifications. Perform in-dept analysis of business processes, identifying pain points and areas of opportunity for optimization. Support and guide the development of user acceptance testing(UAT) to ensure deliverables align with business objectives. Partners with development and technical teams to ensure timely and accurate delivery of software solutions that meet business expectations. Utilize software management tools like Jira, Power Automate, and Microsoft Teams to streamline project execution and collaboration. Create technical diagrams, flow charts, and other visual documentation using modern tools like Visio, Lucidchart, or similar platforms. Mentor junior team members, sharing expertise and fostering a collaborative, learning driven environment. What We're Looking For: Bachelor in Degree in Computer Science, Information Technology, Business Administration, or a related field. Proven track record in managing software projects, from discovery through delivery, using agile or similar methodologies. Hands-on experience with project management and collaboration tools like Jira, Power Automate, Microsoft Teams and other relevant platforms. Strong ability to bridge the gap between business and technical teams, translating business needs into clear, actionable technical specifications. Analytical mindset with a strong focus on problem-solving and improving business processes through software solutions. Exceptional communication skills, capable of presenting complex technical information to non-technical stakeholders in a clear, concise manner. Experience creating technical documentation using flowcharting and diagramming tools such as Visio or Lucidchart. Leadership qualities with the ability to lead software projects and mentor junior team members. Why Join Us: Be part of an innovative team that values creativity, collaboration, and professional growth. Work on impactful software projects with a clear business purpose. Enjoy an inclusive work culture that encourages work-life balance and ongoing learning opportunities.",https://my.jobstreet.com/job/81939241?type=standard&ref=search-standalone&origin=jobCard#sol=2d5048155d4a17003695d6cd28bac18ceac7d0d3
Business Analyst,Accenture TCM,"Subang Jaya, Selangor",Business/Systems Analysts (Information & Communication Technology),Full time,,"#LI-GM About Accenture Accenture is a leading global professional services company that helps the world’s leading businesses, governments and other organizations build their digital core, optimize their operations, accelerate revenue growth, and enhance citizen services - creating tangible value at speed and scale. We are a talent- and innovation-led company with approximately 774,000 people serving clients in more than 120 countries. Technology is at the core of change today, and we are one of the world’s leaders in helping drive that change, with strong ecosystem relationships. We combine our strength in technology and leadership in cloud, data and AI with unmatched industry experience, functional expertise, and global delivery capability. We are uniquely able to deliver tangible outcomes because of our broad range of services, solutions and assets across Strategy & Consulting, Technology, Operations, Industry X and Song. These capabilities, together with our culture of shared success and commitment to creating 360° value, enable us to help our clients reinvent and build trusted, lasting relationships. We measure our success by the 360° value we create for our clients, each other, our shareholders, partners and communities. Visit us at www.accenture.com. Main Responsibilities: Understanding of business requirements and translation into functional conception, test description and execution of system test. Develop and document detailed business and functional requirements for IT projects involving a landscape of applications written in Java/Angular as well as cobol applications. Support of the departments in the functional and technical problem analysis in day-to-day business Collaborate with cross-functional teams, including developers, designers, and project managers, to deliver solutions that meet business needs. Identify and analyze business processes within banking and finance to recommend improvements and optimizations. Assist in the development of project plans, timelines, and budgets for IT projects. Monitor project progress and ensure alignment with business objectives and regulatory requirements in the banking and finance industry. Required Skills: Proven experience as a Business Analyst in IT development within the banking and finance industry or ideally asset servicing. Knowledge of project development methodologies (Agile, Scrum, Waterfall) Familiarity with technologies such as Java, COBOL, and Angular. Knowledge of SQL Knowledge in tools such as Jira, confluence, any test repository (Squash), Strong analytical and problem-solving skills. Communication skills and ability to work effectively in a team and with business. You will also have opportunities to hone your functional skills and expertise in an area of specialization. We offer a variety of formal and informal training programs at every level to help you acquire and build specialized skills faster. Learning takes place both on the job and through formal training conducted online, in the classroom, or in collaboration with teammates. The sheer variety of work we do, and the experience it offers, provide an unbeatable platform from which to build a career. Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law.",https://my.jobstreet.com/job/82345188?type=standard&ref=search-standalone&origin=jobCard#sol=1d939ac2bf24bedabd354898af3f93cfd2daf2a9
Business Analyst - Risk System,AIA Shared Services Sdn. Bhd.,"Cyberjaya, Selangor",Compliance & Risk (Banking & Financial Services),Full time,,"Training and Guidance Develop training and other reference material to support end user adoption and usage Facilitate periodic training for relevant new joiners and key system users Be key point of contact for general end user system queries System Support – Change Management Document business requirements for change requests Review all proposed change requests for business impact and benefit Support the change requests with end users & IT support team regarding the software/platform upgrades and maintenance Be key point of contact for IT throughout review and development of all change requests Work with Head Office to prioritise all approved changes based on business demand Communicate system changes to business unit and group functions and facilitate training where needed Lead consultation processes as required for material changes Prepare UAT plan Complete end to end testing for approved change requests Develop/update training material for approved changes Execute training as required for approved change requests System Support - System Problems/Application Errors As required by IT, support incident review to clarify current expected behavior Be key point of contact for any third-party contractor involved in incident resolution As required by IT review proposed fixes for potential knock-on impact to other system elements and or business methodologies Complete testing of fixes prior to production deployment Analyze incident trends and root causes regularly and propose system enhancement if any Ensure fixes are tracked and followed up until successful remediation and deployment System Support – Service Requests/Other Requirements Be business approver for system user access Be key point of contact to IT support to resolve Service Request queries Facilitate weekly governance forums to review all open items related to system performance/maintenance Be key point of contact for BU and group functions on all business-related system queries On a periodic basis update relevant support materials including training and FAQ and distribute to appropriate end users System Support – General Requirements Support development of Annual Maintenance Calendar with IT support team Support development of SOW as required with any required third parties Complete Annual User Recertification Complete Disaster Recovery Drills as required Support End to End System Testing for all System Upgrades (Including Planning and Coordination of BU Participants and vendor support) Complete annual Third-Party Security Assessment and other associated vendor assessments/checks Annual BAU price negotiation Billing and invoice reconciliation Job Requirements : Minimum of 5 years’ experience in Risk and Compliance, preferably but not mandatorily in the in the life insurance industry In-depth knowledge of system development lifecycle Highly organized, results driven self-starter with excellent interpersonal, communication and influencing skills Fluent in spoken and written English with ability to present articulately",https://my.jobstreet.com/job/82335813?type=standard&ref=search-standalone&origin=jobCard#sol=2ea62f2463f9eabf5f532f5ac920e616f9928348
Business Analyst,PROTECH DIGITAL SDN. BHD.,"Petaling Jaya, Selangor",Product Management & Development (Information & Communication Technology),Full time,,"We are looking for someone who is able to:- Participate during the initial Information Gathering, Analysis & Project Initiation Prepare specification documents Get business & function requirements from user/ stakeholders Perform quality assurance activities and conducting user acceptance testing with end users. Assist the team leader/management effectively communicating your insights and plans to cross-functional team members and management. Gather critical information from meetings with various stakeholders and producing useful reports. Work closely with clients, technicians, and managerial staff. Ensure solutions meet business needs and requirements. Monitor deliverables and ensuring timely completion of projects. Support the team leader/management in delivering the project plan on-time. Provide on-going application support and be involved in various stages of the Software Development Life Cycle (SDLC) and scrum. Conduct user requirement analysis for the development and for enhancements to existing systems. Carry out any other duties or responsibilities that may be assigned to you by Management as deem fit. To be able to have excellent communication and interpersonal skills and able to manage Business Analyst Team What you should have:- At least a Bachelor's Degree, Professional Degree, Master's Degree, Computer Science/Information Technology, Engineering (Computer/Telecommunication) or equivalent At least 3 year(s) of working experience in the related field is required for this position Required skill(s): Communication, presentation and negotiation skills Knowledge and experience in software development life cycle, analyzing and system designing Leadership skills, when it comes to assisting the team leader and in terms of coordination and management of team members Required language(s): Bahasa Malaysia, English It is an added advantage if you:- Have project management skills Have basic HTML and javascript skills to build prototypes What's in it for you? Competitive Salary (above market rate if you are the right potential) Insurance and medical coverage We promote flexi work arrangements having flexi benefits where employees could enjoy what they see fit. Annual Leaves & Sick Leaves We got you covered in terms of medical alongside with your immediate family members (Spouse & Children only). Attractive Employee Referral Program. Sponsored meals if you work at the office Outdoor activities, Celebration during festive seasons and many more! Unlimited coffee refills and snacks in our office pantry. Believes in learning and people development with plenty of trainings to upskill your personal growth. Plenty of initiatives and interest groups to ensure that everyone in the team bond closer together, we put an emphasis on CSR work as well. Gym facilities and cozy café Perks & Benefits:- Central location (Located in Central PJ) Reachable by Train. 6.5 minutes walk from KTM Kg Dato Harun Station. Accommodation Claims F&B Claims Transportation Allowance Telco Claims Festival Token. Performance Incentives Smart Casual dress code Regular team activities Medical insurance, Personal Accidental, Medical Check-up Dental and Optical Claims Long service reward",https://my.jobstreet.com/job/81939563?type=standard&ref=search-standalone&origin=jobCard#sol=d0ee3e2497fe99b9f4dbf82bba7285f8f868cc5a
System Analyst,AIA Digital+ Malaysia,"Kuala Lumpur City Centre, Kuala Lumpur",Business/Systems Analysts (Information & Communication Technology),Full time,,"Roles and Responsibilities: Capture and document business goals, system objectives, use cases. Work with others to prepare requirement gathering templates / checklists. Conduct workshops with business stakeholders to gather user requirements. Analyze user requirements, structure into business capabilities and functions. Analyze data, perform data mapping, identify discrepancies. Own and prepare project documentation, e.g. user requirement, user journey, functional specification, test plan and cases, user manual, etc. Produce professional documentation with high quality. Work with solution architect and developers to brainstorm high level solution. Identify assumptions, constraints, dependencies, issues, and risks. Support the communication between business and development teams. Perform system integration testing. Provide system training to business users. Work with developers to support user acceptance testing. Work with Project Manager to manage user requirement changes. Follow company SDLC processes as guided by Project Manager. Take ownership of assigned tasks. Be responsible for system implementation. Take initiative to research and learn new technical or business knowledge required for assigned project and aspire to master it for own achievement. Strive to become the domain subject matter expert / champion. Be pro-active to work the others to deliver. Offer assistance where needed. Job Requirements: Bachelor’s degree or above in IT related disciplines. Minimum 4-5 years in progressive IT Sector. Minimum 3 years of experience as a system or business analyst. Ability to analyze, interpret and communicate business information to both internal and external project stakeholders. Ability to foster strong relationships with clients and team members. Ability to read and understand basic scripts / code / XML / YAML. Ability to write would be an advantage. Willingness to work at client office as per the project assignment. Willingness to adjust and follow client time zone (e.g. Australia or New Zealand) as per the project assignment. Proficient in English written and verbal communication. Familiar with Agile / Scrum / Waterfall software development process. Having working experience with financial / insurance institutions is a plus. Having working experience with web / mobile / integration projects is a plus. Having hands-on experience with Azure, DevOps, Cloud Migration, Application Modernization, CI/CD processes and tools is an advantage. Familiar with requirement development methodology and change management. Having experience with various UI visual / mockup tool, user journey tool (e.g. Miro) is an advantage. Having attended professional trainings (e.g. PMP, Agile / Scrum, Data, Gen AI, Azure) is a plus. Passing any exams is an advantage.",https://my.jobstreet.com/job/82514053?type=standard&ref=search-standalone&origin=jobCard#sol=6ceb6bf6840bb9bc6d7dd1d682e60b594ebd8a09
