Job Title,Company Name,Location,Sector,Job Type,Salary,Job Responsibilities,URL Link
Data Intelligence Analyst,Katimas Infotech Sdn Bhd,"Kuching, Sarawak",Database Development & Administration (Information & Communication Technology),Full time,"RM 2,500 – RM 3,500 per month","JOB SUMMARY: The Data Intelligence Analyst is responsible for data analysis, data visualisation, and reporting to support business intelligence and decision-making. The role involves compiling, processing, and analysing large datasets to generate insights, develop dashboards, and present findings in a visually intuitive manner. Additionally, the executive will provide system support for data-related issues, such as investigating inconsistencies, debugging database queries, and ensuring the accuracy of reports. This position requires SQL expertise and a strong analytical mindset. While prior experience is an advantage, fresh graduates with a strong foundation in data analysis and SQL are encouraged to apply. JOB DUTIES: Data Analysis & Visualisation: • Compile and analyse large datasets to extract meaningful insights and trends. • Develop interactive dashboards and reports using tools such as Power BI, Tableau, or Excel. • Perform data visualisation to present complex data in a clear and user-friendly format. • Identify patterns, correlations, and business insights that can drive decision-making. • Assist in optimising data processes to improve efficiency and reporting accuracy. SQL & Database Management: • Write and optimize SQL queries to retrieve and manipulate data efficiently. • Ensure data integrity and accuracy within databases and reporting systems. • Work with the Software Development team to debug data discrepancies, missing records, or incorrect calculations in reports. • Assist in database documentation and query optimization to improve system performance. System Support (Data-Related Issues): • Investigate data-related system issues, such as incorrect report outputs or data inconsistencies. • Provide first-level support for internal users facing data retrieval or reporting issues. • Work with the Software Development team to debug database-related problems and ensure smooth data operations. • Document frequently occurring issues and solutions to improve troubleshooting efficiency. Collaboration & Continuous Improvement: • Work closely with business units to understand their data reporting and analysis needs. • Assist in developing automation solutions to streamline data reporting. • Provide recommendations based on data-driven insights to improve operational efficiency. • Stay updated on emerging data analytics trends and best practices to enhance business intelligence. QUALIFICATIONS & REQUIREMENTS: Education & Experience: • Bachelor’s degree in Data Science, Computer Science, Information Technology, Business Analytics, or a related field. • Fresh graduates with a strong academic background in data analysis and SQL are encouraged to apply. • 1-3 years of experience in data analysis, business intelligence, or reporting is an advantage. Technical Skills: • SQL (Mandatory): Strong ability to write and optimize SQL queries for data retrieval and reporting. • Data Visualisation: Experience with Power BI, Tableau, or Excel charts/pivot tables. • Data Analytics: Ability to interpret and analyse large datasets for insights and trends. • Database Knowledge: Familiarity with databases (MySQL, PostgreSQL, SQL Server, MongoDB etc.). • Basic Programming (Optional but Advantageous): Python, R, or other scripting languages for data processing. Soft Skills: • Strong analytical and problem-solving skills. • Attention to detail in working with complex datasets. • Good communication skills to explain data findings to non-technical stakeholders. • Ability to work collaboratively with business teams and IT professionals.",https://my.jobstreet.com/job/82603893?type=standard&ref=search-standalone&origin=jobCard#sol=ebf79f6a0152426316fd7967ee3fbfc57b0f70f9
Junior Data Analyst,Private Advertiser,"Bangsar South, Kuala Lumpur",Business/Systems Analysts (Information & Communication Technology),Full time,"RM 3,500 – RM 4,500 per month","Get to know the role: We're currently seeking a Data Analyst with a talent for transforming numbers into valuable insights! Join our dynamic team as we explore the exhilarating world of competitive events, where every data point has a story to tell. What would you do? Maintain key performance indicators (KPIs) in handling data. Create daily reports highlighting discrepancies or errors identified during the analysis process. Chart the course of team performance and providing invaluable insights. Keep a vigilant eye on data streams, offering real-time monitoring and analysis to guide strategic decision-making. Collaborate with team members, ensuring smooth operations and providing support. Who should join us? Ability to work independently under pressure and manage multiple projects with tight schedules. Flexibility for shifts and overnight work includes weekend and public holidays. Fluency in Mandarin preferred for client interaction. Strong analytical and critical thinking skills. Fresh graduates are welcome to apply. Our Perks & Benefits: 13 months’ Salary Quarterly and annual bonuses Monthly allowances Monthly team gatherings & birthday celebrations Unlimited office pantry snacks and drinks Team building activities & outings Medical insurance and medical coverage including dental & optical Birthday leave Get to know us: Our Management Consulting Services deliver actionable solutions to real business challenges that span across people, technology and data. Our business and management consultants provide enterprises and organizations with strategic leadership and transformational insights, obtained through years of experience. With the right direction and leadership, this leads to a highly motivated and productive workforce, streamlined processes. Together, we work with you to deliver thoughtful, practical guidance and recommendations.",https://my.jobstreet.com/job/82016543?type=standard&ref=search-standalone&origin=jobCard#sol=46aea25015835dc55bfb7853bd615239ce7dd7b1
Business Intelligence Analyst - Hybrid Working,EPS Malaysia,Kuala Lumpur,Analysis & Reporting (Sales),Contract/Temp,"RM 7,000 – RM 7,200 per month","Position : Business Intelligence Analyst Tenure: 1 year contract Working Mode : Hybrid Salary : RM 7000- RM 7200 Key Responsibilities: Develop, maintain, and automate reports and dashboards to provide actionable insights. Utilize Excel, VBA Macros, and Power Query to streamline data processing and reporting tasks. Extract, transform, and analyze data from multiple sources to support business decisions. Ensure accuracy, consistency, and reliability of reports by implementing validation and reconciliation techniques. Collaborate with stakeholders to understand reporting requirements and translate them into effective reporting solutions. Improve reporting efficiency through automation and optimization of existing processes. Provide ad-hoc analysis and support data-driven decision-making across departments. Required Skills & Qualifications: Proficiency in Microsoft Excel (Advanced formulas, PivotTables, Power Query, VBA/Macros). Hands-on experience with Power Query for data transformation and automation. Strong experience in report automation to improve efficiency and reduce manual effort. Good knowledge of data visualization and reporting best practices. Analytical mindset with strong business acumen and problem-solving skills. Ability to work with large datasets, ensuring accuracy and consistency. Excellent communication and stakeholder management skills. Quick learner with the ability to adapt to new tools and technologies. Experience with SQL, Power BI, or other BI tools is a plus.",https://my.jobstreet.com/job/82598058?type=standard&ref=search-standalone&origin=jobCard#sol=91bc4763d07f18ba03ad2467ef1b9a6e790c3a67
Data Analyst,Elabram Systems Sdn Bhd,"Klang, Selangor",Business/Systems Analysts (Information & Communication Technology),Full time,"RM 6,000 – RM 8,000 per month","Responsibilities: - Design, develop, and maintain scalable BI solutions, including data models, dashboards, and reports using BI tools. - Analyse complex datasets to extract valuable insights and identify trends or patterns for business optimization. - Work closely with cross-functional teams to understand their data requirements and translate them into effective BI solutions. - Ensure data accuracy, consistency, and reliability by performing regular data quality checks and implementing data governance best practices. - Work closely with cross-functional teams to understand their data requirements and translate them into effective BI solutions. - Continuously improve and optimize existing BI solutions by staying updated on industry best practices and technological advancements. - Create and maintain technical documentation, including solution design, architecture, and development guidelines, for future reference and knowledge sharing. - Provide training and support to end-users on how to effectively use BI tools and interpret data insights. Requirements: - 3+ years of experience in implementing and supporting BI solutions. - Proven experience as a BI Developer, Data Analyst, or in a similar role. - Familiar with ETL process, database management, BI tools, data analytics etc. - Hands-on experience with BI tools. - Experience with ETL processes and tools. - Proficiency in SQL and experience deal with databases. - Knowledge of programming languages such as Python, R, or others for data manipulation and analysis. - Strong analytical and problem-solving skills with the ability to interpret complex data. - Excellent communication and collaboration skills, including the ability to work with cross- functional teams. - Ability to work independently and adapt to a fast-paced, changing environment.",https://my.jobstreet.com/job/82606492?type=standard&ref=search-standalone&origin=jobCard#sol=7a5ae11b19b6cf250a4c62198d346a4c636671c7
BI Developer (Immediate Hiring中),Douxy Enterprise,"Bukit Jalil, Kuala Lumpur","Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,"RM 4,200 – RM 6,000 per month","Design, develop, and maintain ETL pipelines to process and integrate large volumes of company data. Build and optimize reporting databases to support real-time analytics. Create and maintain interactive dashboards and reports using Power BI, Tableau and others for key business stakeholders. Collaborate with operation and marketing teams to ensure data accuracy and usability. Work with raw data from various sources, including system database, transactions, customer behavior, and marketing campaigns. Optimize SQL queries and database performance for efficient data retrieval and analysis. Assist in A/B testing, customer segmentation analysis, and fraud detection to improve business outcomes. Requirements: 1-3 years of experience in BI Development, Data Engineering, or a related field. Strong proficiency in SQL (e.g., MySQL, PostgreSQL, or SQL Server) for querying large datasets. Hands-on experience with BI tools (Power BI, Tableau, or others). Experience in ETL development using SSIS, Apache Airflow, Alteryx, or similar tools. Understanding of Python or R for data manipulation and automation is a plus. Strong analytical thinking and ability to work in a fast-paced, data-driven environment. Excellent problem-solving skills and attention to detail. Knowledge of machine learning models for customer behavior prediction.",https://my.jobstreet.com/job/82102620?type=standard&ref=search-standalone&origin=jobCard#sol=11187fc742ab8c290ce826c4eccf8090d6fa0d81
"Senior Analyst, APAC Business Intelligence (Hybrid Working)",SEEK,"Kuala Lumpur City Centre, Kuala Lumpur",Business/Systems Analysts (Information & Communication Technology),Full time,,"Company Description SEEK operates market-leading online employment marketplaces, including Jobstreet and Jobsdb in Asia. SEEK has been helping people live more fulfilling and productive working lives and helping organisations succeed for over 25 years. Founded and headquartered in Melbourne, Australia, SEEK has grown into a multinational technology company with over 3,300 employees and is listed on the Australian Securities Exchange. SEEK’s presence spans Australia, New Zealand, Hong Kong, Indonesia, Malaysia, the Philippines, Singapore and Thailand. Additionally, SEEK has minority investments in employment marketplaces in China, South Korea and Bangladesh. SEEK develops and applies innovative data and technology tools to facilitate high-quality matching and improve reliability of marketplace information. In 2021, 2022, 2023 and 2024, SEEK was recognised as one of Australia’s Top Ten Places to Work in Technology in the AFR BOSS Best Places to Work awards. SEEK was also named a 5-Star Employer of Choice by HRD Asia in 2024 and won four accolades at TalentCorp’s Life at Work Awards 2023 in Malaysia. Job Description Reporting to the APAC Business Intelligence Manager, this role will: Collaborate with the APAC BI Manager to identify, measure, analyze, and report standardized APAC metrics to assess business performance and uncover opportunities for improvement. Lead the creation, building, and management of Tableau dashboards for real-time tracking and reporting. Deliver accurate and value-adding insights to drive strategic decision-making. Clearly communicate data findings and analysis to support key business decisions. Contribute to establishing and regularly reviewing critical metrics while participating in the creation of key initiatives. Acquire internal and external data to build data-driven insights and dashboards for performance measurement, sales optimization, and business decision-making. Monitor progress, track execution of plans against targets and timelines, and ensure data accuracy in all analyses. Qualifications The ideal candidate will have: At least 5 years of experience in analysis, strategy, or research-related roles. Strong familiarity with statistical methods. A collaborative approach passionate about delivering end-to-end results. Experience working on strategy or research projects, with the ability to define objectives and desired outcomes. A passion for generating impactful insights and a curiosity to ask ""why?"" A strong intellectual drive, particularly in understanding customer behavior, happiness, and dedication. Able to collaborate effectively with collaborators by providing valuable insights rather than just sharing reports. Experience tackling complex strategic or analytical questions and delivering actionable recommendations. Superb communication and presentation skills. A track record of successfully collaborating with teams to get results. Technical Skills: The candidate should be proficient in: Crucial: SQL, Tableau (Desktop & Server), Microsoft Excel. Desirable: Web Analytics tools (Omniture, Google Analytics, Google Tag Manager, A/B testing, etc.), Databricks (SQL, Python, R, Scala). Preferred Qualifications: Experience in online businesses and/or technology. Previous exposure to APAC markets. Desired Values: We believe in setting high standards to achieve world-class results while encouraging a culture of care, inclusion, and collaboration. Additional Information At SEEK, we are passionate about fostering a culture of inclusion and wellbeing that embraces and values the diversity of our people. We are a purpose driven business that works with heart. We know teams with diverse ideas, experiences and perspectives are more creative and are critical to ensuring effective delivery and innovating to enable our future success. As such, we welcome applications from people with a diverse group of backgrounds and life experiences, especially as they relate to gender, sexual identity, culture, faith, disability and life stages. If you have the skills, curiosity and an adaptable approach but don't meet every responsibility or qualification listed in this advertisement, please still get in touch with us.",https://my.jobstreet.com/job/82189443?type=standard&ref=search-standalone&origin=jobCard#sol=cc503cd6e0694d2ba5f80aa53201da9f467d78f6
"Associate, System Support & Data Analytics",Talent Corporation Malaysia Berhad,"Mutiara Damansara, Selangor",Business/Systems Analysts (Information & Communication Technology),Full time,,"1. System Development and Implementation a.Design, develop, and deploy BI solutions, including dashboards, reports, and data visualization tools. b.Collaborate with business units to gather and understand requirements for BI projects. c.Optimize and maintain data models and ETL (Extract, Transform, Load) processes. d.Test and validate BI systems to ensure accuracy and reliability. 2. System Support and Maintenance a.Monitor BI system performance and troubleshoot issues. b.Provide technical support for BI tools and systems, resolving user queries promptly. c.Ensure data quality, security, and compliance with organizational policies and regulations. d.Update and upgrade BI tools to ensure they meet the latest technological standards. 3. Data Analysis and Reporting a.Generate actionable insights by analyzing data and trends. b.Create and maintain user-friendly dashboards, KPIs, and performance metrics for various departments. c.Support strategic decision-making by providing accurate and timely data analyses. 4. Training and Documentation a.Train users on BI tools and best practices for data interpretation. b.Develop and maintain documentation for BI systems, including processes, workflows, and technical specifications. 5. Collaboration and Stakeholder Management a.Work closely with IT, business units, and external vendors to ensure alignment on BI initiatives. b.Act as a bridge between technical teams and business stakeholders to translate business needs into technical solutions. Requirements: Qualifications • Education: Bachelor’s degree in Computer Science, Information Systems, Business Analytics, or a related field. • Experience: •Minimum 2-5 years of experience in BI development, support, or a similar role. •Proficiency in BI tools such as Power BI, Tableau, QlikView, or others. •Experience with database management systems (e.g., SQL Server, Oracle, MySQL). • Technical Skills: •Strong knowledge of SQL and data modeling. •Familiarity with ETL processes and tools (e.g., SSIS, Informatica). •Understanding of programming languages like Python, R, or DAX. •Knowledge of cloud-based BI platforms and services • Soft Skills: •Excellent problem-solving and analytical skills. •Strong communication and interpersonal skills. •Ability to work independently and as part of a team. •Attention to detail and commitment to data integrity.",https://my.jobstreet.com/job/82578907?type=standard&ref=search-standalone&origin=jobCard#sol=abc56d75d94dcd72f7a2608051b0cedbef2defea
Customer Service Data Analyst,J&T EXPRESS (MALAYSIA) SDN. BHD.,"Bangsar, Kuala Lumpur",Business/Systems Analysts (Information & Communication Technology),Full time,"RM 3,300 – RM 4,500 per month","Responsible for optimizing the efficiency and customer experience of the customer service department through data analysis. This role typically involves handling customer service-related data, such as customer satisfaction, service quality, and response time, and providing data-driven decision-making recommendations. Gather and organize data from customer service systems. Ensure data accuracy and completeness. Monitor customer service metrics (e.g., average response time, customer satisfaction and etc). Identify trends, analyze issues, and propose optimization suggestions. Create data reports and generate regular (daily, weekly, monthly) customer service performance reports. Identify bottlenecks in customer service processes through data analysis and suggest improvements. Evaluate the performance of different customer service channels (phone, email, live chat, social media) and provide recommendations. Analyze customer complaints, reviews, and feedback to identify key pain points and areas for improvement. Requirements :- Minimum 1 year of experience in related field. Strong problem-solving skills – ability to identify trends, uncover issues, and develop strategic solutions. Proficient in Microsoft Excel (VBA, VLOOKUP, Pivot Tables, etc.) and familiar with other data analytics tools. Highly organized and detail-oriented. A proactive, result-driven team player with strong communication and analytical thinking skills.",https://my.jobstreet.com/job/82517348?type=standard&ref=search-standalone&origin=jobCard#sol=51987f936d4989c36df5b06d1bcb44b78385cd0b
Data Analyst,Sunway Medical Centre Sdn Bhd,"Bandar Sunway, Selangor",Business/Systems Analysts (Information & Communication Technology),Full time,,"About the Role: As a Data Analyst at Sunway Healthcare Group, you will play a vital role in transforming raw data into actionable insights to support decision-making and improve business outcomes. You will utilize advanced analytics techniques and tools to discover patterns, trends, and insights while ensuring data quality and effective visualization. Key Responsibilities: Data Preparation and Analysis: Aggregate, clean, and prepare data for analysis using best practices in data preparation. Collaborate with data engineers to define and enhance data pipelines. Perform statistical modeling and develop analytics models to support business initiatives. Insight Generation and Decision Support: Identify trends and patterns to address business questions and challenges. Consult with stakeholders to investigate issues using data-driven approaches, even without predefined hypotheses. Develop actionable insights that improve decision-making processes. Visualization and Communication: Create compelling visualizations and presentations to convey insights clearly to stakeholders. Use data visualization tools like Power BI to simplify complex data narratives. Tools and Technology Expertise: Work with business intelligence applications such as Power BI. Leverage Power BI Dataflows for centralized and reusable ETL processes and integration with datasets. Use data querying and processing tools, including SQL, or Python, to extract and analyze data. Familiarity with cloud and big data technologies (e.g., AWS, Azure, Google Cloud) to enable efficient data management and integration with Power BI. Skills and Qualifications: Bachelor’s degree in Business, Analytics, Computer Science, or a related field. Relevant certifications in data analytics or business intelligence like Power BI. Strong background in data analysis and querying languages such as SQL and Python. Proficiency in using analytics and visualization tools like Power BI to extract, analyze, and present insights. Proficiency in creating and managing Power BI Dataflows to standardize and automate data transformation processes. Familiarity with data preparation, cleansing, and transformation techniques for effective analysis. Ability to identify trends, patterns, and correlations in complex datasets to inform decisions. Experience in working with cloud-based analytics environments and tools, including the use of dataflows for integration and scalability. Knowledge in statistical modeling and data interpretation to derive actionable insights. Effective communication skills with both technical and non-technical teams. Strong collaboration abilities, working effectively in a team setting. Skilled in identifying and solving data-related challenges in cloud environments. Adept at staying ahead of the curve in cloud data technologies and practices. If you are interested in driving impactful analytics in a healthcare setting and contributing to the organization’s success, we welcome your application.",https://my.jobstreet.com/job/82203609?type=standard&ref=search-standalone&origin=jobCard#sol=70d8915cfa058a031c63178aa0cd822c0e282c1b
Data Analyst (Fresh Graduates),AIA Shared Services Sdn. Bhd.,"Cyberjaya, Selangor",Business/Systems Analysts (Information & Communication Technology),Full time,,"Roles and Responsibilities: Assist in administrative tasks and support the day-to-day operations of the team. Assist respective teams in reporting, data analysis and case management. To be able to own, simplify or automate reports, trackers and other tools. Collaborate with stakeholders and Subject Matter Experts across a wide range of departments on any possible process improvement or automation. Lead the process engineering in collaboration with respective relevant parties to ensure the highest level of service quality are met. Support implementation of any other initiative that is assigned to the Knowledge Management team. Successful execution of assigned projects as per the stipulated timeline. Collaborate with cross-functional teams to ensure flawless execution of projects and initiative Document all relevant operation processes. Establish and ensure the standard operating templates are consistently used for process documentation Design change management plans, programmes and communication to ensure effective roll out of changed processes. Job Requirements: Bachelor’s Degree in Computer Science, Mathematics, Physics, Statistics, Operations Research, Engineering or related quantitative disciplines Experience in MIS field with Microsoft Excel & Power Query knowledge. Microsoft VBA (added advantage). Fresh graduates are welcome to apply Good commitment at work, good attitude, willing to learn Required to follow Australia time zone and working calendar",https://my.jobstreet.com/job/82368043?type=standard&ref=search-standalone&origin=jobCard#sol=96d5ae5f982799fc84a3f85308ba3ef25b0a76ee
