Job Title,Company Name,Location,Sector,Job Type,Salary,Job Responsibilities,URL Link
Junior Data Analyst,Private Advertiser,"Bangsar South, Kuala Lumpur",Business/Systems Analysts (Information & Communication Technology),Full time,"RM 3,500 – RM 4,500 per month","Get to know the role: We're currently seeking a Data Analyst with a talent for transforming numbers into valuable insights! Join our dynamic team as we explore the exhilarating world of competitive events, where every data point has a story to tell. What would you do? Maintain key performance indicators (KPIs) in handling data. Create daily reports highlighting discrepancies or errors identified during the analysis process. Chart the course of team performance and providing invaluable insights. Keep a vigilant eye on data streams, offering real-time monitoring and analysis to guide strategic decision-making. Collaborate with team members, ensuring smooth operations and providing support. Who should join us? Ability to work independently under pressure and manage multiple projects with tight schedules. Flexibility for shifts and overnight work includes weekend and public holidays. Fluency in Mandarin preferred for client interaction. Strong analytical and critical thinking skills. Fresh graduates are welcome to apply. Our Perks & Benefits: 13 months’ Salary Quarterly and annual bonuses Monthly allowances Monthly team gatherings & birthday celebrations Unlimited office pantry snacks and drinks Team building activities & outings Medical insurance and medical coverage including dental & optical Birthday leave Get to know us: Our Management Consulting Services deliver actionable solutions to real business challenges that span across people, technology and data. Our business and management consultants provide enterprises and organizations with strategic leadership and transformational insights, obtained through years of experience. With the right direction and leadership, this leads to a highly motivated and productive workforce, streamlined processes. Together, we work with you to deliver thoughtful, practical guidance and recommendations.",https://my.jobstreet.com/job/82016543?type=standard&ref=search-standalone&origin=jobCard#sol=3942783d61f6da0c6b7579320c60deb2847903b0
Data Intelligence Analyst,Katimas Infotech Sdn Bhd,"Kuching, Sarawak",Database Development & Administration (Information & Communication Technology),Full time,"RM 2,500 – RM 3,500 per month","JOB SUMMARY: The Data Intelligence Analyst is responsible for data analysis, data visualisation, and reporting to support business intelligence and decision-making. The role involves compiling, processing, and analysing large datasets to generate insights, develop dashboards, and present findings in a visually intuitive manner. Additionally, the executive will provide system support for data-related issues, such as investigating inconsistencies, debugging database queries, and ensuring the accuracy of reports. This position requires SQL expertise and a strong analytical mindset. While prior experience is an advantage, fresh graduates with a strong foundation in data analysis and SQL are encouraged to apply. JOB DUTIES: Data Analysis & Visualisation: • Compile and analyse large datasets to extract meaningful insights and trends. • Develop interactive dashboards and reports using tools such as Power BI, Tableau, or Excel. • Perform data visualisation to present complex data in a clear and user-friendly format. • Identify patterns, correlations, and business insights that can drive decision-making. • Assist in optimising data processes to improve efficiency and reporting accuracy. SQL & Database Management: • Write and optimize SQL queries to retrieve and manipulate data efficiently. • Ensure data integrity and accuracy within databases and reporting systems. • Work with the Software Development team to debug data discrepancies, missing records, or incorrect calculations in reports. • Assist in database documentation and query optimization to improve system performance. System Support (Data-Related Issues): • Investigate data-related system issues, such as incorrect report outputs or data inconsistencies. • Provide first-level support for internal users facing data retrieval or reporting issues. • Work with the Software Development team to debug database-related problems and ensure smooth data operations. • Document frequently occurring issues and solutions to improve troubleshooting efficiency. Collaboration & Continuous Improvement: • Work closely with business units to understand their data reporting and analysis needs. • Assist in developing automation solutions to streamline data reporting. • Provide recommendations based on data-driven insights to improve operational efficiency. • Stay updated on emerging data analytics trends and best practices to enhance business intelligence. QUALIFICATIONS & REQUIREMENTS: Education & Experience: • Bachelor’s degree in Data Science, Computer Science, Information Technology, Business Analytics, or a related field. • Fresh graduates with a strong academic background in data analysis and SQL are encouraged to apply. • 1-3 years of experience in data analysis, business intelligence, or reporting is an advantage. Technical Skills: • SQL (Mandatory): Strong ability to write and optimize SQL queries for data retrieval and reporting. • Data Visualisation: Experience with Power BI, Tableau, or Excel charts/pivot tables. • Data Analytics: Ability to interpret and analyse large datasets for insights and trends. • Database Knowledge: Familiarity with databases (MySQL, PostgreSQL, SQL Server, MongoDB etc.). • Basic Programming (Optional but Advantageous): Python, R, or other scripting languages for data processing. Soft Skills: • Strong analytical and problem-solving skills. • Attention to detail in working with complex datasets. • Good communication skills to explain data findings to non-technical stakeholders. • Ability to work collaboratively with business teams and IT professionals.",https://my.jobstreet.com/job/82603893?type=standard&ref=search-standalone&origin=jobCard#sol=3ba27d182868d8647bb337a89657fda49dad6ce2
HR Data Analyst,SmartHire by SEEK,"Shah Alam, Selangor",Consulting & Generalist HR (Human Resources & Recruitment),Full time,,"Our client ""Koerber Technologies Sdn. Bhd. (KTEMY)"" is seeking a HR Data Analyst to join their team! Are you passionate about HR analytics and global reporting? Join our client's dynamic team as an HR Data Analyst and play a crucial role in shaping the future of their Global HR Organization. This exciting opportunity offers international exposure, cross-functional collaboration, and the chance to work with cutting-edge HR technologies. About Our Client Koerber Technologies Sdn. Bhd. (KTEMY) is a leading manufacturer of precision machines, owned by Körber Technologies GmbH, part of the Körber AG Group. With over 280 highly skilled local workers, KTEMY serves as a major strategic hub, producing machines exclusively in Malaysia with German quality standards. The company is now expanding its capabilities by establishing a design center, offering exciting opportunities for growth and innovation. What you'll be doing? Global HR Reporting: Design and maintain comprehensive HR reports and analyses, ensuring data quality and compliance across regions. KPI Development: Create and enhance international HR Key Performance Indicators to drive organizational performance. Cross-functional Collaboration: Communicate effectively with global and local HR, Finance, IT, and Legal functions to meet diverse data demands. System Support: Provide first-level support and training for SAP SuccessFactors and ServiceNOW, empowering colleagues to leverage HR technologies. Data Management: Maintain accurate and up-to-date information in HR IT systems, contributing to overall data integrity. Who are they looking for? Academic Excellence: Candidates with a Bachelor's degree in Statistics, Econometrics, Business Administration, Management, Economics, or related fields. Analytical Experience: 2 to 5 years of experience in analysis, reporting, and IT helpdesk support, with knowledge of SAP SuccessFactors and ServiceNow being advantageous. Team Player: Excellent communication and interpersonal skills, with the ability to collaborate effectively in a global environment. Language Proficiency: Strong verbal and written communication skills in English and Bahasa Malaysia, coupled with the ability to speak ""tech"" fluently. Ownership Mindset: High sense of responsibility, ownership, and commitment towards projects and team goals. How to apply Ready to join this role? Click Apply now to submit your resume and share your availability and expected salary with us! We value diversity and encourage applications from candidates of all backgrounds and experiences. All information received will be kept strictly confidential and will be used only for employment-related purposes. #SmartHire",https://my.jobstreet.com/job/81949447?type=standard&ref=search-standalone&origin=jobCard#sol=56165f454162486a6451cf89e95051bab5315968
Data Analyst,Honor Technology (Malaysia) Shd Bhd,Kuala Lumpur,Business/Systems Analysts (Information & Communication Technology),Contract/Temp,,"Responsibilities System Maintenance for Market Information Oversee the maintenance and regular updating of market information systems Ensure the accuracy and timeliness of market data and reports Troubleshoot and resolve any issues related to system functionality. 2. Daily Report Analysis Analyze daily sales and market performance reports Provide insights and recommendations based on report findings Prepare and distribute daily reports to relevant stakeholders. 3. Contract Management 02O contract filing and compiling Make sure all documents been certified and legalise under Malaysia business law. Requirements Degree educated high desirable Demonstrated ability to communicate, present and influence credibly and effectively at all levels of the organization Proven ability to drive the sales process from plan to close Strong business sense and industry expertise Excellent mentoring, coaching and people management skills Good skills in Excel and data analysis. Good time management skills for multiple processes. Hard working and willing to response at demands",https://my.jobstreet.com/job/82581690?type=standard&ref=search-standalone&origin=jobCard#sol=2bd44b9afbd3c1f7c0cb49dd946a460277c8f944
Customer Service Data Analyst,J&T EXPRESS (MALAYSIA) SDN. BHD.,"Bangsar, Kuala Lumpur",Business/Systems Analysts (Information & Communication Technology),Full time,"RM 3,300 – RM 4,500 per month","Responsible for optimizing the efficiency and customer experience of the customer service department through data analysis. This role typically involves handling customer service-related data, such as customer satisfaction, service quality, and response time, and providing data-driven decision-making recommendations. Gather and organize data from customer service systems. Ensure data accuracy and completeness. Monitor customer service metrics (e.g., average response time, customer satisfaction and etc). Identify trends, analyze issues, and propose optimization suggestions. Create data reports and generate regular (daily, weekly, monthly) customer service performance reports. Identify bottlenecks in customer service processes through data analysis and suggest improvements. Evaluate the performance of different customer service channels (phone, email, live chat, social media) and provide recommendations. Analyze customer complaints, reviews, and feedback to identify key pain points and areas for improvement. Requirements :- Minimum 1 year of experience in related field. Strong problem-solving skills – ability to identify trends, uncover issues, and develop strategic solutions. Proficient in Microsoft Excel (VBA, VLOOKUP, Pivot Tables, etc.) and familiar with other data analytics tools. Highly organized and detail-oriented. A proactive, result-driven team player with strong communication and analytical thinking skills.",https://my.jobstreet.com/job/82517348?type=standard&ref=search-standalone&origin=jobCard#sol=c80bfb104e1f30f39a78559b6e41c30d7b182fbf
Data Analyst,Elabram Systems Sdn Bhd,"Klang, Selangor",Business/Systems Analysts (Information & Communication Technology),Full time,"RM 6,000 – RM 8,000 per month","Responsibilities: - Design, develop, and maintain scalable BI solutions, including data models, dashboards, and reports using BI tools. - Analyse complex datasets to extract valuable insights and identify trends or patterns for business optimization. - Work closely with cross-functional teams to understand their data requirements and translate them into effective BI solutions. - Ensure data accuracy, consistency, and reliability by performing regular data quality checks and implementing data governance best practices. - Work closely with cross-functional teams to understand their data requirements and translate them into effective BI solutions. - Continuously improve and optimize existing BI solutions by staying updated on industry best practices and technological advancements. - Create and maintain technical documentation, including solution design, architecture, and development guidelines, for future reference and knowledge sharing. - Provide training and support to end-users on how to effectively use BI tools and interpret data insights. Requirements: - 3+ years of experience in implementing and supporting BI solutions. - Proven experience as a BI Developer, Data Analyst, or in a similar role. - Familiar with ETL process, database management, BI tools, data analytics etc. - Hands-on experience with BI tools. - Experience with ETL processes and tools. - Proficiency in SQL and experience deal with databases. - Knowledge of programming languages such as Python, R, or others for data manipulation and analysis. - Strong analytical and problem-solving skills with the ability to interpret complex data. - Excellent communication and collaboration skills, including the ability to work with cross- functional teams. - Ability to work independently and adapt to a fast-paced, changing environment.",https://my.jobstreet.com/job/82606492?type=standard&ref=search-standalone&origin=jobCard#sol=93645ba2324594ae3d9c47b7b0024f103cb21c12
Data Analyst - MRO SEC,Huawei Technologies (Malaysia) Sdn. Bhd,Kuala Lumpur,Business/Systems Analysts (Information & Communication Technology),Contract/Temp,,"Responsibilities: Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions. Mine and analyze data from company databases to drive optimization and improvement of business strategies. Assess the effectiveness and accuracy of new data sources and data gathering techniques. Develop custom data models and algorithms to apply to data sets. Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. Coordinate with different functional teams to implement models and monitor outcomes. Develop processes and tools to monitor and analyze model performance and data accuracy. Requirements: Candidate must possess at least a Bachelor's Degree, Post Graduate Diploma, Professional Degree, Computer Science/Information Technology or equivalent. At least 2 year(s) of working experience in the related field is required for this position. Have rich experience on database implementation and master tools such as MySQL, PostgreSQL Have practiced experience in Python writing, especially for data cleaning, modeling, logic algorithm and machine learning Be familiar with Hadoop and Spark Solid skills in Tableau or PowerBI Visualization tools is preferred Strong troubleshooting as well as problem analytical and solving skills. Excellent team spirit with good communication, interpersonal skills and team collaboration. Ability to perform statistical analysis, including description, dimensional reduction and linear models. Contract position(s) available.",https://my.jobstreet.com/job/82056484?type=standard&ref=search-standalone&origin=jobCard#sol=e290d6681b267f25820e4bf0f4ebd7de64591754
Data Analyst - Corporate Information System - Dubai,TikTok Pte. Ltd.,Kuala Lumpur,Business/Systems Analysts (Information & Communication Technology),Full time,,"*Please note that the role is based in Dubai with no remote working option. Relocation assistance is provided. About ByteDance Founded in 2012, ByteDance's mission is to inspire creativity and enrich life. With a suite of more than a dozen products, including TikTok as well as platforms specific to the China market, including Toutiao, Douyin, and Xigua, ByteDance has made it easier and more fun for people to connect with, consume, and create content. Why Join Us Creation is the core of ByteDance's purpose. Our products are built to help imaginations thrive. This is doubly true of the teams that make our innovations possible. Together, we inspire creativity and enrich life - a mission we aim towards achieving every day. To us, every challenge, no matter how ambiguous, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. At ByteDance, we create together and grow together. That's how we drive impact-for ourselves, our company, and the users we serve. Join us. Team Introduction Information System is based on the needs of the company's internal system construction and responsible for the planning and construction of internal human resources, workplace service, finance, legal affairs, procurement, approval and other internal systems, demand and project management, information security management, system configuration, operation and maintenance of the company. Responsibilities We are looking for an experienced Data Analyst to join our Dubai office to support the corporate services information system development within the corporate information system team: 1. Responsible for the set-up of business indicator systems for the Corporate Services team (E.g. Real Estate, Physical Security & Administration), analysis of long-term trends and short-term anomalies, and providing valuable suggestions with reports; 2. Build dashboards based on indicator systems, and establish a daily tracker and monitoring system to identify relevant trends or potential blockers promptly; 3. Conduct various data analysis according to business needs, quickly identify internal problems or discover opportunities through qualitative & quantitative analysis and modeling; 4. Maintain smooth and effective communication with internal stakeholders (E.g. Business Operation team, Data Warehouse team, Product team, R&D and Algorithm) to ensure the implementation and continuous optimization of data analysis reports, build user-friendly data systems and data products to support business. Qualifications Minimum Qualifications 1. Bachelor's degree or above; minimum of 3 years of relevant experience in data analysis; 2. Proficient in SQL and Tableau/PowerBI or similar visualization tools; 3. Rich data mining, information collection and analysis capabilities, and strong ability to translate business problems into data modeling. Preferred Qualifications 1. Familiar with Python or R for data analysis and Algorithms (ML, causal inference); 2. Data analysis in the internet or technology-related industries; 3. Strong learning ability, able to learn and understand new fields and knowledge quickly; 4. Excellent communication skills and possess a collaborative spirit. Able to lead a small project team to support business. ByteDance is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At ByteDance, our mission is to inspire creativity and enrich life. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",https://my.jobstreet.com/job/82402307?type=standard&ref=search-standalone&origin=jobCard#sol=8aea6b2f7ff9727398c79b91de29b1298db0440d
Data Analyst,TECHTREND SOLUTIONS SDN. BHD.,"Johor Bahru, Johor",Business/Systems Analysts (Information & Communication Technology),Full time,"RM 4,000 – RM 6,000 per month","职位要求: 1.本科及以上学历,理工类专业(数学、统计学、计算机科学、软件工程等相关专业)优先 2.有使用数据分析/商业智能工具的经验,如Python、SQL、Tableau、PowerBI、Microsoft Excel和/或其他工具。具有ETL和数据库的实践经验将是有利的。 3.具备强大的统计分析技能,具有处理多个指标/关键指标的经验,为技术和非技术利益相关者提供分析建议和业务见解。这包括挖掘、评估和可视化。 4.强大的中英文口头、书面和演示沟通能力 5.有产品管理经验,熟悉SaaS产品者优先。 职位描述: 1.熟悉数据定义及其特征,从各种数据库中执行ETL。这包括执行数据转换、清理、可视化和挖掘,以获得业务洞察力。然后将洞察力传达给利益相关者,这些洞察力可以是仪表板和具有影响力的可视化报告的形式。 2.积极分析数据,以问题解决者的心态回答利益相关者的关键问题。调查推动业务绩效的因素,并与利益相关者沟通需要在优化效率和生产力方面改进的领域。 3.设计数据驱动的A/B测试,对用户行为、转化优化和网页设计原则有很好的理解。 4.协助简化和自动化向各部门提交的分析报告 5.协助组织信息并支持构建知识管理和共享信息架构的倡议 Job requirements: Bachelor degree or above, science and engineering majors (mathematics, statistics, computer science, software engineering and other related majors) are preferred. Experience working with data analytic/business intelligence tools such as Python, SQL, Tableau, Power BI, Microsoft Excel and/or other tools. Hands-on experience with ETL and databases will be advantageous. Possesses strong statistical analytical skills with experience working with multiple metrics/key indicators, providing analytical recommendations and business insights to technical and non-technical stakeholders. This includes mining, evaluation and visualization. Strong verbal, written and presentation communications skills in Chinese and English Experience in product management and familiarity with SaaS product preferred. Job description: Perform ETL from various databases with familiarity in understanding the data definitions and its characteristics. This includes performing data transformation, cleaning, visualization and mining to obtain business insights. The insights are then communicated to stakeholders, which can be in the form of dashboards and reports with impactful visualization. Proactively analyses data to answer key questions for stakeholders, with a problem solver mindset. Investigates what drives business performance and communicate to stakeholders on areas that need to be improved in optimizing efficiency and productivity. Design data-driven A/B testing, with the good understanding of user behaviour, conversion optimization and web design principles. Assist with the effort to streamline and automate analytical reports to various departments. Assist to organize information and support the initiative to build information architecture for knowledge management and sharing。",https://my.jobstreet.com/job/82223396?type=standard&ref=search-standalone&origin=jobCard#sol=cb0f0552006fa39ef0d7f03b5a70bada629efa43
"Associate Analyst/ Analyst, Treasury Data, Analytics and Reporting",Bank Negara Malaysia,Kuala Lumpur,Analysis & Reporting (Banking & Financial Services),Full time,,"Associate Analyst/ Analyst, Data, Analytics and Reporting, Treasury Risk and Infrastructure Unit ROLE PURPOSE Responsible for developing and implementing overall data and system management strategies including automation, collection, transformation, validation and analytics, to provide high quality information and complement department’s decision making that contribute towards the operations and mandates of the Bank. PRINCIPAL ACCOUNTABILITIES Devise and implement effective data management and analytics strategies to ensure data accuracy, integrity and quality are preserved at all times. Conduct data sourcing, cleansing, transformation and warehousing, and ensure data to be easily accessible and usable by end-users for their analysis, reporting and decision making. Monitor and identify critical data gaps, issues and new business requirements, and explore new data sources, methods and techniques to offer prompt and meaningful resolution. Control, manage and ensure data flows are functioning efficiently and reach the intended end users and systems in a timely manner. Develop and implement business process automation and enhancement for users’ reports, data visualizations and operational workflows, in order to meet current and future data requirements. Ensure effective and efficient functioning of the middle office systems and provide support in static data creation for the treasury system to mitigate any operational risks for the department. Keep abreast with the latest development and trends in data analytics and management to ensure improvements and further enhancements in reporting capabilities, efficiency and timeliness. Liaise with data providers, system vendors and DTS for creation and maintenance of data pipeline. QUALIFICATIONS Academic Qualifications: Degree or professional qualifications in Actuarial Science, Mathematics,Computer Science, Information Technology, Engineering, Data Science or equivalent degree. Experience: At least 2 years’ experience in data management, analytics or related field. Should havea good understanding in data requirements within the financial system and treasury-relatedoperations, as well as the technical aspects of investment assets. TECHNICAL SKILLS/ KNOWLEDGE Analytical and logical thinking Data visualisation and presentation skills Technical/ Mathematics Strategies Formulation Proficient in MS Office (especially Excel), programming language (e.g. R, Python, VBA) and datavisualization tools (e.g. Power BI, Tableau)",https://my.jobstreet.com/job/82439842?type=standard&ref=search-standalone&origin=jobCard#sol=27c8d8631fb1cc790745fb8c6cd6e0f03b4a3fbc
