Job Title,Company Name,Location,Sector,Job Type,Salary,Job Responsibilities,URL Link
Data & Analytics Engineer,Eng Teknologi Sdn. Bhd.,"Bayan Lepas, Penang",Business/Systems Analysts (Information & Communication Technology),Full time,"RM 4,000 – RM 6,000 per month","At Engtek, we’re on a mission to harness the power of data to drive smarter decisions and innovation. As a Data & Analytics Engineer, you’ll play a key role in building and maintaining a robust data platform, ensuring data integrity, and enabling data-driven insights. You'll also develop dashboards that transform raw data into actionable intelligence. If you thrive on solving data challenges and want to be part of a dynamic team, we’d love to hear from you. JOB DESCRIPTION/RESPONSIBILITIES Build & Maintain the Data Pipeline & Platform – Work with internal teams and vendors to set up and sustain a high-performance data infrastructure. Data Extraction, Transformation & Modelling – Design and optimize data models, develop ETL pipelines, and ensure efficient integration of structured and unstructured data from multiple sources. Data Visualization & Reporting – Create and manage dashboards using tools like Power BI or Tableau, enabling business teams to make data-driven decisions. Ensure Data Integrity – Monitor data quality, troubleshoot inconsistencies, and optimize data processes for accuracy and reliability. Collaboration & Innovation – Work closely with business users to understand data needs and continuously improve our data ecosystem. JOB REQUIREMENTS Bachelor’s degree in Computer Science, Data Science or any comparable studies on IT, Data Analytics & Engineering. 1 – 2 years of experience in data engineering, data analysis, or a related field. Fresh graduates with coursework or projects involved data engineering are encouraged to apply. Proficiency in SQL for querying, transformation, and performance optimization. Understanding of d ata modelling principles and database architecture. Experience with ETL tools and data pipeline management is a plus. Familiarity with data visualization tools (Power BI, Apache Superset, etc.). Basic knowledge of programming languages such as Python. Strong analytical thinking and problem-solving skills. Willingness to learn and adapt to new tools and technologies. Excellent communication skills to collaborate with technical and non-technical stakeholders.",https://my.jobstreet.com/job/82186303?type=standard&ref=search-standalone&origin=jobCard#sol=b9915013b1e4beff91744ce22cdd324b7f087ca6
Big Data Engineer - Campus Hire 2025,Lenovo,"Petaling Jaya, Selangor",Engineering - Software (Information & Communication Technology),Full time,,"Job Responsibilities Be responsible for the design, development, and maintenance of the data platform, including data warehouses, data lakes, etc., to ensure the efficiency of data storage and management. Take the lead in the development of ETL processes, extract, clean, and transform data from multiple data sources to ensure data quality and meet business analysis requirements. Utilize big data technologies such as Hadoop, Spark, and Flink to optimize data processing performance and achieve efficient processing of massive data. Collaborate closely with data analysts and algorithm engineers, understand business needs, provide high-quality data support, and contribute to business decision-making. Establish and improve data development specifications, processes, and standards to ensure the standardization and maintainability of data development work. Qualifications A bachelor's degree or above in computer science, software engineering, statistics, or related fields. With more than 1 year of data development experience. Outstanding fresh graduates are also welcome to apply. Possess good communication skills and teamwork spirit, have strong problem-solving and learning abilities, and show enthusiasm for new technologies.",https://my.jobstreet.com/job/82613905?type=standard&ref=search-standalone&origin=jobCard#sol=9eda6f6bc0574e225842517954852357695f0fed
Data Engineer,SNSOFT SDN. BHD.,Kuala Lumpur,Developers/Programmers (Information & Communication Technology),Full time,"RM 4,000 – RM 6,000 per month","Benefits of this role: 13th Months Salary (upon Company Declaration) Project Incentive (upon Company Declaration based on project performance) Transport, Meal, Birthday Allowances (upon Confirmation) Sports Activities (Badminton & Basketball), Company Outing Training and certification sponsored by company (Selected employees). Rewards and recognition: Long Service Award / Best Performer Award / Role Model Awards etc Job Description: We are in search of a highly motivated and exceptionally talented Data Engineer to become a valuable member of our team. As a Data Engineer, you will play a pivotal role in designing, building, and maintaining our data infrastructure, ensuring the reliability and scalability of our data pipelines. If you are an enthusiastic data engineer with a strong background in data architecture and a passion for gaming, we encourage you to apply and be part of our dynamic team. Key Responsibilities: Data pipeline construction: Design, build and maintain data pipelines for data collection, storage, processing and analysis. Ensure data pipelines are efficient, scalable, and secure. Data warehouse and database management: Design and build data warehouses to support complex data extraction, transformation, and loading (ETL) processes.(from DA or user’s requirement) Manage and optimize SQL and NoSQL database systems. Data integration: Integrate data from different data sources to ensure data consistency and quality. Work with data scientists and analysts to provide data support and optimize data query performance. Automation and monitoring: Automate data processing tasks. Monitor the performance of data pipelines and promptly address issues in the data flow. Qualifications: Fresh Graduates are Welcome: Bachelor's degree in Computer Science, Data Engineering, or a related field. Fresh graduates are strongly encouraged to apply. Basic understanding of data pipeline development, ETL processes, and data architecture. Previous experience is a plus but not required. Proficiency in Python and SQL. Familiarity with SQL database management (e.g., PostgreSQL) is a bonus. Strong problem-solving skills and a willingness to learn. Ability to work collaboratively in a team environment and adapt to new challenges. A passion for learning and improving in the field of data engineering. A strong desire to develop your skills in data engineering.",https://my.jobstreet.com/job/82499850?type=standard&ref=search-standalone&origin=jobCard#sol=bfe89abed17ae46157d352f97cb4bdbd41dab87f
Digitalization Data Engineer,VAT Manufacturing Malaysia Sdn Bhd,"Batu Kawan, Penang",Engineering - Software (Information & Communication Technology),Full time,,"Your responsibilities include, but not limited to: •Working closely with Global cross-functional teams to understand data requirements, optimize processes and to build & manage Data Pipeline, Visualization •Perform Data evaluation by using deep IT and Lean knowledge to improve Data Quality, Accuracy, Reliability and Stability for continuous improvement •Ensure the data are handled securely according to VAT IT Data Security requirements. •Improving the performance and scalability of data architectures. •Automating manual data processes to improve efficiency. •Provide excellent IT solutions to VAT shopfloor users to support Lean Manufacturing and Lean Management. •Using Lean tools and techniques to address issues •Applying Lean principles to streamline ETL processes, reducing latency and improving data flow. Qualifications: •Minimum a Bachelor Degree in Industrial Engineering or any comparable studies Data Analytics / Engineering / IT •At least 3 years of working experience in the field of Industrial Engineering, Manufacturing IT as well as in semiconductor industry •Experience in Lean Management on process optimization, continuous improvement and value stream mapping •Experience with complex SQL, PostgreSQL databases and familiar with Performance Tuning and optimizing SQL queries. •Experience with Power BI, Grafana, Tableau •Understanding Data Modelling on data warehousing and ETL (Extract, Transform, Load) processes. •Strong interpersonal and communication skills to work effectively with cross-functional teams. •Ability to adapt to a changing environment and handle multiple priorities •Able to work with minimum supervision and commit to Project deadlines •Able to translate technical concepts in non-technical language •Strong analytical and problem-solving skills •Basic technical leadership experience is desired",https://my.jobstreet.com/job/82169759?type=standard&ref=search-standalone&origin=jobCard#sol=a404f212e30e1d1c24a99d15004cb285841f711b
Associate Data Scientist (Hybrid Working),SEEK,Kuala Lumpur,"Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,,"Company Description About SEEK SEEK operates market-leading online employment marketplaces, including Jobstreet and Jobsdb in Asia. SEEK has been helping people live more fulfilling and productive working lives and helping organisations succeed for over 25 years. Founded and headquartered in Melbourne, Australia, SEEK has grown into a multinational technology company with over 3,300 employees and is listed on the Australian Securities Exchange. SEEK’s presence spans Australia, New Zealand, Hong Kong, Indonesia, Malaysia, the Philippines, Singapore and Thailand. Additionally, SEEK has minority investments in employment marketplaces in China, South Korea and Bangladesh. SEEK develops and applies innovative data and technology tools to facilitate high-quality matching and improve reliability of marketplace information. In 2021, 2022, 2023 and 2024, SEEK was recognised as one of Australia’s Top Ten Places to Work in Technology in the AFR BOSS Best Places to Work awards. SEEK was also named a 5-Star Employer of Choice by HRD Asia in 2024 and won four accolades at TalentCorp’s Life at Work Awards 2023 in Malaysia. Job Description The Role We are looking for a multifaceted and talented individual to join our team as an Associate Data Scientist. You will be a mixture of a Data Scientist, Researcher, and a Machine Learning Engineer, working with and learning from a cross functional squad of Product Managers, Data Scientists and Engineers. Successful performance in this role will be demonstrated through helping develop and deploy AI solutions which will support SEEK products such as Recommendations and Search Engines. We are looking for someone who is passionate about understanding human behavior for building and improving internet-scale products informed by data. Key Responsibilities Gathering, validating and understanding data to explore and tackle business problems. Help research, build, deploy and maintain Recommendations AI solutions coordinated with recruitment products striving to accurately connect candidates to recruiters. Participating in building models to improve the chances of matching (job placements) to demonstrate our AI platform to the next level. Collaborate with team members across Strategy, Product, Data Science and Software Development teams to address a variety of ambitious business problems.. Participate in the formulation, development, deployment, and testing of new solutions Qualifications Essential Qualifications, Skills and Experience Strong analytical and problem solving skills. Knowledge of machine learning algorithms, model tuning, data science concepts. Ability to perform data exploratory analysis. Good data extraction and processing skills using SQL, Python. Able to write serviceable code (e.g. Scala, Go, Python, Spark). Good communication and interpersonal skills. Other Qualifications, Skills and Experience A post-graduate qualification in a quantitative discipline (eg. Physics, Mathematics, Computer Science) Ability to adapt quickly and manage an environment of rapid change and development Knowledge in: Recommender Systems Data Mining Natural Language Processing Optimization Additional Information The Team The Artificial Intelligence Platform Services (AIPS) is structured into cross-disciplinary squad with members from Data Science, Strategy and Engineering who work together to research, design, build and support end-to-end machine learning based products delivering direct value to hirers and job seekers. Why SEEK This is a permanent role We are a collaborative and mature work culture Hybrid work mode Extensive employee benefits At SEEK, we are passionate about fostering a culture of inclusion and wellbeing that embraces and values the diversity of our people. We are a purpose driven business that works with heart. We know teams with diverse ideas, experiences and perspectives are more creative and are critical to ensuring effective delivery and innovating to enable our future success. As such, we welcome applications from people with diverse backgrounds and life experiences, especially as they relate to gender, sexual identity, culture, faith, disability and life stages. If you have the skills, curiosity and an adaptable mindset but don't meet every responsibility or qualification listed in this advertisement, please still get in touch with us. Should you require any specific support or adjustments throughout the recruitment process and beyond, please advise us and we will be happy to assist. SEEK kindly requests no unsolicited resumes or approaches from recruitment agencies and will not be responsible for any associated fees.",https://my.jobstreet.com/job/82265410?type=standard&ref=search-standalone&origin=jobCard#sol=8bbf88f8b6ce5be940c0dd87e6243e33f697740f
DATA SCIENTIST,INFRA MOBILE DIGITAL SDN BHD,"Kuchai Lama, Kuala Lumpur",Database Development & Administration (Information & Communication Technology),Full time,"RM 4,000 – RM 6,000 per month","Company Overview: Infra Mobile Digital is a renowned property technology company that has been recognized with prestigious awards. As a tech consulting firm, we specialize in delivering innovative property solutions to our clients. We are currently seeking a skilled and data scientist professional with expertise in the propertyindustry to join our dynamic team. Role Overview: As a Data Scientist with a focus on property technology at Infra Mobile Digital, you will play a vital role in understanding the unique needs and challenges of the property industry. Your primary responsibility will be to gather, analyze, and document business requirements, as well as improve the user-friendliness of our property technology solutions. Your expertise will ensure that our software solutions align seamlessly with the specific demands of all industries, leading to successful project implementations. Role Responsibilities: Gather and Document Property Industry Requirements. Collaborate with stakeholders in the property industry to understand their business objectives and challenges. Elicit, analyze, and document clear and comprehensive business requirements for property technology projects, taking into consideration the various stages of the property development lifecycle, including construction to VP handover process. Data Analysis: Analyze large, complex data sets to extract actionable insights. Identify, analyze, and interpret trends or patterns in complex data sets. Model Development: Develop custom data models and algorithms to apply to data sets. Use predictive modeling to optimize customer experiences, revenue generation, and other business outcomes. Data Visualization: Create advanced visualizations to represent data insights clearlyand compellingly. Work with cross-functional teams to translate business needs into technical specifications. Continuous Learning: Stay updated with the latest industry trends and best practices. Research and implement new statistical or other mathematical methodologies as needed. Collaboration: Collaborate with engineering and product development teams. Liaise with stakeholders to understand data needs and deliver accordingly. REQUIREMENTS: Bachelor's degree in Computer Science, Information Technology or related field. Proven experience 2-3 years of working experience as a Data Scientist, with a focus on property technology or the real estate industry. Essential Skills: Power BI, Python, SQL, Perform Data Mining, Data Model, Business Intelligence. Strong interpersonal and communication skills to collaborate effectively with cross-functional teams and property industry stakeholders. Excellent analytical and problem-solving skills, understanding business requirements Proficiency in documenting business requirements, use cases, and functional specifications tailored to property technology solutions. Experience in project management and task coordination. Interested, please send your portfolio to hr@infradigital.com.my",https://my.jobstreet.com/job/82628177?type=standard&ref=search-standalone&origin=jobCard#sol=8767c22896bb4079fde69d5e5ccd6b45cadd792e
Data Scientist,ACGT Sdn Bhd,"Bukit Jalil, Kuala Lumpur",Developers/Programmers (Information & Communication Technology),Full time,,"Responsibilities: Explore and apply data pre-processing methods such as transformation and curations involving different sources of structured and unstructured data Performs data mining, processing, cleansing, and validating integrity of data from various data sources Carry out exploratory data analysis to find trends and insights Build, test and deploy machine learning algorithms and models for problem solving or process optimization Collaborate and communicate with multiple stakeholders and subject matter experts to tackle business challenges Requirements: BSc. or MSc. or Ph.D. in Mathematics, Computer Science, Data Science, Machine Learning, Artificial Intelligence or related fields provided they have a strong technical knowledge and experience in machine learning Proficient in programming and scripting skills (Python and R). Proficient in libraries for machine learning such as scikit-learn and pandas Excellent interpersonal skills, team player, resourceful and has strong analytical skills Experience in collaborative research and thriving in a fast-paced and dynamic work environment Good communication and written in English.",https://my.jobstreet.com/job/82029600?type=standard&ref=search-standalone&origin=jobCard#sol=c895af638417d0e6807c9726eb1e1b80c928bac2
IT Engineer (Data Center),Speedmatrix Sdn Bhd,"Kulai, Johor",Engineering - Hardware (Information & Communication Technology),Full time,"RM 4,000 – RM 6,000 per month","Job Responsibilities: Handle incident tickets according to SOPs, including incident acceptance, recording, routing, escalation, tracking, and summarizing. Execute change tasks according to change plans, including equipment installation and removal, and structured cabling. Register the entry and exit of data center personnel and equipment from various suppliers. Manage on-site construction and safety in the data center. Monitor data center equipment, perform regular inspections, report faults, and participate in 24/7 data center duty shifts. Manage the receipt and dispatch of data center equipment/parts and asset management, including but not limited to assets, parts, and consumables, ensuring all asset data is traceable. Assess data center utilization and provide reasonable optimization suggestions, driving implementation and execution. Qualifications: Degree in Computer Science, Electronics, Telecommunications, or a related field. Self-driven and eager to learn, quick-thinking, with strong execution, initiative, and stress resistance, along with excellent communication and teamwork skills. Fresh graduates are welcome to apply. Working Location: Sedenak, Kulai",https://my.jobstreet.com/job/81242290?type=standard&ref=search-standalone&origin=jobCard#sol=5899af75d34d0c4f75bfb1fb5a35af2ad3c4140f
Big Data Engineer - Cloud,Private Advertiser,Kuala Lumpur,Engineering - Software (Information & Communication Technology),Contract/Temp,"RM 9,000 – RM 13,000 per month","Job Description: 1.Gain insights into the competitiveness and serviceability requirements of HUAWEI CLOUD Big Data service products. Such as: MRS, DWS, DataLake Insights, Elasticsearch, etc. 2.Be responsible for the delivery of global key projects, including Solution design, Resources management, Data migration, Expanding and Optimizing resources based-on HUAWEI CLOUD Big Data service products. 3.Manage requirements of key projects, develop project plans, identify project risks, ensure timely project delivery, and take charge of operations of some HUAWEI CLOUD sites. 4.Provides technical support for HUAWEI CLOUD customers and ensures the proper running of customer services at the technical level. 5.Troubleshoot faults of Big Data service products in various scenarios, communicate with customers about solutions, and track the solution implementation results. Job Requirement: 1.Have a good project management experience in the ICT or CLOUD industry. 2.Be familiar with Big Data knowledge. Such as: Hadoop, MapReduce, Kafka, HBase, Spark, Datalake Insights, etc. 3.Experience in cloud development, delivery, or O&M. Background in the cloud industry preferred. 4.HCIA/HCIP/HCIE certificate in cloud computing, or equivalent certificates in the industry preferred, ep: AWS, Azure, GCP cloud certificates. 5.Have a good sense of teamwork and organizational coordination skills.",https://my.jobstreet.com/job/81225696?type=standard&ref=search-standalone&origin=jobCard#sol=77c23e4b52792ef54eae3f44e6c02750efc5a3e6
Machine Learning Engineer (Artificial Intelligence),FootfallCam,Kuala Lumpur,Engineering - Software (Information & Communication Technology),Full time,"RM 4,000 – RM 6,000 per month","We are seeking a highly motivated individual, the best of the bests talent to join our team as a Machine Learning Engineer (Artificial Intelligence). We welcome new graduates as well as experienced professionals who have the passion, curiosity, ability, and determination to be the best ML or AI engineer. Responsibilities: Design, develop, and deploy machine learning models and algorithms for complex and unique datasets, using various techniques such as mathematical modeling, scikit-learn, NLP, CNN, RNN, DL, RL, Transformers, GAN, LLM, RAG, prompt engineering, GPT, AI Agent. Collaborate with cross-functional teams to extract insights, identify business opportunities and provide data-driven recommendations Stay up-to-date with the latest machine learning and AI techniques and tools Communicate complex technical concepts to non-technical stakeholders in an easy-to-understand manner Requirements: Bachelor's degree or higher in Computer Science, Mathematics, Statistics, Actuarial Science, Informatics, Information Science or related fields Strong analytical skills and attention to detail Participation in Kaggle, Mathematics Olympiad or similar competitions is a plus Excellent programming skills in Python, R, Java, or C++ Familiar with ML frameworks such as Tensorflow, Keras, PyTorch, MLFlow, AutoML, TensorRT, CUDA Excellent communication and collaboration skills Experience with designing, training, and deploying machine learning models Customer centric and committed to deliver the best AI results to customers As a Machine Learning Engineer, you will receive guidance from experienced senior AI specialists and have opportunities for professional growth and advancement within the company. Possible future career paths after 2 years include Senior Machine Learning Engineer, AI Architect, AI Team Lead, Data Scientist, Data Architect, Data Lead, Research Engineer, Senior Research Engineer. Please note that this position is only for the best of the bests, and we expect candidates to have a strong mathematical background and the grit to solve complex problems. If you believe you have what it takes to excel in this challenging position, apply now. Fresh Graduates are also encouraged to apply!",https://my.jobstreet.com/job/82197075?type=standard&ref=search-standalone&origin=jobCard#sol=da2a61b1c8e9b5f8b981ca9cc5c66a125bc6f41b
