Job Title,Company Name,Location,Sector,Job Type,Salary,Job Responsibilities,URL Link
Data Operations Executive,DCS SYNTHESIS SDN BHD,"Puchong, Selangor",Data Entry & Word Processing (Administration & Office Support),Full time,"RM 2,500 – RM 3,700 per month","Duties and Responsibilities You will establish collaborative relationships among the various project and constituent groups, with the aim of promoting the concept of integrated systems. You will be responsible for facilitating decision making processes as appropriate and serving as liaison between the mall management, the mall tenants and external vendor representatives. Maintaining and updating company database Serving as primary point of contact with mall management and their tenants on overall technical matters of their POS system. Provide assistance to external vendor representatives and mall tenants for technical issues concerning their POS interface and POS sales submission. Monitor current projects and coordinates all team members involved to keep workflow on track Ensure project aligns with the set SOP and deadlines In charge of keeping track of all project-related paperwork / reports Track and analyze project risks and recommend improvements Providing timely project status updates to the Project Managers and mall management Strategize and work to improve the project process with project manager when needed Monitor the mall server’s network connectivity Record minutes and take detailed notes during meetings Requirements and Qualifications We are looking for a Data Operations who's skilled in organizing resources, establishing priorities, and working effectively at all levels in a collaborative team environment Candidate must possess at least Primary/Secondary School/SPM/""O"" Level, Higher Secondary/STPM/""A"" Level/Pre-U, Diploma/Advanced/Higher/Graduate Diploma in any field. Required language(s): English At least 1 Year(s) of working experience in the related field is required for this position. Preferably Entry Level specialized in Customer Service or equivalent. Excellent written and verbal communication skills Strong computer skills; well-versed in Microsoft Office and thorough knowledge of Excel Project management skills and the ability to resolve complex problems and issues Able to work effectively under pressure Flexible and able to multitask on several different aspects of a project or on multiple projects Able to produce quality work with strict deadlines",https://my.jobstreet.com/job/82305741?type=standard&ref=search-standalone&origin=jobCard#sol=b5a8143f4a0bd8a3e6ffa7dbae50bb0bd7c5d62b
"Asset Management Specialist (DATA CENTER OPERATIONS, Johor MY - KULAL , NUSAJAYA",Rahi Systems Pte. Ltd.,"Kulai, Johor",Management (Information & Communication Technology),Full time,"RM 3,000 – RM 4,200 per month","The Asset Management Specialist will work in the warehouse/distribution center in IDC and handle computer assets and peripherals. Typical duties include Receiving, processing, and unpacking goods, signing for packages, preparing computer kits for distribution, updating inventory records, counting boxes, and reporting on basic troubleshooting of defective goods. Uses and operates manual and electronic documents, files, and records (shipping accounts, bar-coding, inventory, monthly inventory reporting, electronic delivery logs, incoming shipments, etc.) to properly document activities, and provide material and reliable resources information. Utilizes asset management tools such as bar code scanners to perform inventories. Provides outstanding customer service by maintaining attention to detail, completing assigned work in a timely manner, and maintaining an efficient and effective work environment. Performs other related duties as assigned to ensure the efficient and effective functioning of the Asset Management Team. Maintains a detailed and accurate log of all items shipped, received, or moved within the area of responsibility. Receive goods at the datacenter Requirements: Good communication skills and strong learning skills. Proficient with Microsoft Excel Education: Associate Degree and above.",https://my.jobstreet.com/job/81951206?type=standard&ref=search-standalone&origin=jobCard#sol=9f9410c50364febb84ed2c5c93d9585cf0d5a8cd
Data Analyst - Corporate Information System - Dubai,TikTok Pte. Ltd.,Kuala Lumpur,Business/Systems Analysts (Information & Communication Technology),Full time,,"*Please note that the role is based in Dubai with no remote working option. Relocation assistance is provided. About ByteDance Founded in 2012, ByteDance's mission is to inspire creativity and enrich life. With a suite of more than a dozen products, including TikTok as well as platforms specific to the China market, including Toutiao, Douyin, and Xigua, ByteDance has made it easier and more fun for people to connect with, consume, and create content. Why Join Us Creation is the core of ByteDance's purpose. Our products are built to help imaginations thrive. This is doubly true of the teams that make our innovations possible. Together, we inspire creativity and enrich life - a mission we aim towards achieving every day. To us, every challenge, no matter how ambiguous, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. At ByteDance, we create together and grow together. That's how we drive impact-for ourselves, our company, and the users we serve. Join us. Team Introduction Information System is based on the needs of the company's internal system construction and responsible for the planning and construction of internal human resources, workplace service, finance, legal affairs, procurement, approval and other internal systems, demand and project management, information security management, system configuration, operation and maintenance of the company. Responsibilities We are looking for an experienced Data Analyst to join our Dubai office to support the corporate services information system development within the corporate information system team: 1. Responsible for the set-up of business indicator systems for the Corporate Services team (E.g. Real Estate, Physical Security & Administration), analysis of long-term trends and short-term anomalies, and providing valuable suggestions with reports; 2. Build dashboards based on indicator systems, and establish a daily tracker and monitoring system to identify relevant trends or potential blockers promptly; 3. Conduct various data analysis according to business needs, quickly identify internal problems or discover opportunities through qualitative & quantitative analysis and modeling; 4. Maintain smooth and effective communication with internal stakeholders (E.g. Business Operation team, Data Warehouse team, Product team, R&D and Algorithm) to ensure the implementation and continuous optimization of data analysis reports, build user-friendly data systems and data products to support business. Qualifications Minimum Qualifications 1. Bachelor's degree or above; minimum of 3 years of relevant experience in data analysis; 2. Proficient in SQL and Tableau/PowerBI or similar visualization tools; 3. Rich data mining, information collection and analysis capabilities, and strong ability to translate business problems into data modeling. Preferred Qualifications 1. Familiar with Python or R for data analysis and Algorithms (ML, causal inference); 2. Data analysis in the internet or technology-related industries; 3. Strong learning ability, able to learn and understand new fields and knowledge quickly; 4. Excellent communication skills and possess a collaborative spirit. Able to lead a small project team to support business. ByteDance is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At ByteDance, our mission is to inspire creativity and enrich life. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",https://my.jobstreet.com/job/82402307?type=standard&ref=search-standalone&origin=jobCard#sol=06b79cce7948d52924ef44064593320a290f4f08
"Data Center Operations Technician (Malaysia, 24/7 shift)",Rahi Systems Pte. Ltd.,"Johor Bahru, Johor",Engineering - Hardware (Information & Communication Technology),Full time,"RM 3,000 – RM 4,000 per month","Responsibilities • Hardware Support - Installations, Move, Add, Change • Decommission of IT equipment (networks, servers, networks, storage, backup devices) • Media management - HDD/SSD Destruction and Disposals • Connect and disconnect patch cables to equipment in DC • Server Hardware break fix support - Installation of parts, reseat module, SFP module replacement including HDD / Memory / Mainboard, etc. • Regular physical / visual inspection equipment and data center operations facilities • Provide onsite support during scheduled maintenance / change events • Troubleshooting of issues for IT and network related equipment • Inventory management of RMA, cold spares, equipment and tools • Vendor Management - Coordination, Vendor Supervision • DC Access Request Management • POP Site operations support and standby • Provide regular reporting on progress as required (move, change, support request and change) and develop continuously improvement capabilities • Provide after business hours support based on on-call schedule and shift work when required • Any other duties as assigned Requirements • Minimum of 1 years’ experience working in the Data Centre operations space • Good understanding and knowledge in data structured cabling and patching • Experienced in hardware support, breakfix and troubleshooting. • Ability to respond to issues and provide timely updates, and escalation • Experience working in a large-scale critical environment is a plus • Fresh graduates with adequate knowledge are welcomed to try Advantageous Skills & Knowledge • Rack, space, power and cooling allocations for new install or relocation requests • Capacity management (space, power, cooling, patch panel port availability) • Incident / Change Management Process • Understanding of DC Space, Power, Cooling Management • Certifications eg. CDCP, ITIL, Server+, Linux+, Network+, A+, CCNA.",https://my.jobstreet.com/job/81951378?type=standard&ref=search-standalone&origin=jobCard#sol=3b45fa454a3b4aaa9b12e43b1eb5f5fa48f1fc5f
Search QA Model Data,TikTok Pte. Ltd.,Kuala Lumpur,Collections (Call Centre & Customer Service),Full time,,"About TikTok TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. Why Join Us? Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible. Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day. To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve. Join us. About Trust & Safety Building a world where people can safely discover, create and connect. The Trust & Safety (T&S) team at TikTok helps ensure that our global online community is safe and empowered to create and enjoy content across all of our applications. We have invested heavily in human and machine-based moderation to remove harmful content quickly and often before it reaches our general community. About the Team The Search Operations team aims to improve search user experience, contribute significant DAU impact to the products and drive for increase in traffic and GMV. The Search Model Data Team is responsible for managing data labeling projects covering over 20 countries/regions and 18 languages. The data labeled will be provided to the R&D team, the R&D team will apply human labeled data to train and test algorithm models for various search business segments, helping to optimize the search engine, launch new features and improve user experience when using the search function on our platform. By thoroughly understanding the project background and model optimization direction as well as combining business experience and localized market characteristics, The Search Model Data Team is responsible for end-to-end project management throughout the entire project life cycle, including formulate project planning and labeling strategies/SOP, forecast resource and manpower, promote the implementation of labeling guidelines, and ensure the project delivery result. It is possible that this role will be exposed to harmful content as part of the core role/as part of project/ in response to escalation requests/by chance. This may occur in the form of images, video, and text related to every-day life, but it can also include (but is not limited to) bullying; hate speech; child safety; depictions of harm to self and others, and harm to animals. What will I be doing? Operation & Data Management - You will perform daily operational tasks including quality inspection, policy and process optimization, queue assignment and handling escalations of the labelling project. - You will work closely with respective project stakeholders and vendors to stay up to date with policy developments and provide feedback on implementation and execution. - You will be performing daily audit on internal system and provide analysis of errors and feedback to respective teams (R&D & Product Manager). - You will be monitoring the quality scored of agents and run root cause analysis to the management team. - You will be monitoring project data, record daily output and quality scores, prepare data analysis/report of projects as well as validate reports and data provided to stakeholders/partners. Training Management - You will be localizing the policy guidelines designing training schedule, coordinate and liaise with key stakeholders including BPO to ensure that all labellers successfully go-live within the targeted time frame. - You will deliver process/product/policy training in classroom and/or virtually to new joiners. - You will be involve in setting up product knowledge test, share result analysis and work with key stakeholders to improve the product knowledge of team. Qualifications What should I bring with me? - A minimum diploma & above education background. - You possess prior experience in a QA role, ideally within a Content Moderation / Content Quality / Safety environment. - You are familiar with search engines and algorithms of any social media platform or search engine optimization. - You come with experience in a BPO / call center / customer service or vendor management environment is a plus. - You have good attention to detail and you are comfortable using data analysis to identify trends. - Comfortable with and understand that the job requires reviewing internet content that may be deemed inappropriate and / or contain explicit materials - Your ability to work in a high tempo environment, adapt, respond to day-to-day challenges of the role. - Your resilience and commitment to self-care to manage the emotional demands of the role. Trust & Safety is committed to the wellbeing of all our employees. Our promise is to provide comprehensive and evidence-based programs, to promote and support physical and mental wellbeing throughout each employee's journey with us. We believe that wellbeing is a relationship and that everyone has a part to play, so we work in collaboration and consultation with our employees and across our functions in order to ensure a truly person-centred, innovative and integrated approach. TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",https://my.jobstreet.com/job/82471809?type=standard&ref=search-standalone&origin=jobCard#sol=e4a08f717efcee1c89961cfd23760cdf6ca281c8
"Administrator, Data Service Delivery",RBC Shared Services Malaysia Sdn Bhd,Putrajaya,Banking - Business (Banking & Financial Services),Full time,,"What is the opportunity? Our client is a specialist provider of asset services, custody, payments and treasury services. Founded in 1864, they are the 10th largest bank worldwide and the 5th in North America, as measured by market capitalization. They are among a small group of highly rated global banks and are recognized time and time again for our financial strength, market leadership and philanthropic work. Our client has a processing centre of operational excellence supporting 10 countries across three geographical time zones employing a Global Operating Model to maximise efficiencies across times zones and supports a 24/5 operational capability. The objectives for Malaysia are to enhance the scalability of their global operations, improve service quality via their ‘centres of excellence’ and to implement/leverage standardised processes globally. You will be supporting Europe business, working on shift hours of 4:00pm – 1:00am or 6:00pm - 3:00am. What will you do? Static data maintenance, treatment of corporate actions plus any other tasks surrounding the lifecycle of all types of securities Perform function in line with the departmental procedures Maintain highest level of service quality and performance in compliance with Data Service Delivery mission and objectives Ensure check lists and incident reports are accurately completed within the set timeframe Ensure adherence to bank and team procedures Ensure second level review and validation of tasks accomplished by other Administrators Give feedback to other Administrators on errors detected while validating their tasks Review logbooks received from clients and prepare the necessary comments for feedback to the clients within the set timeframe What do you need to succeed? Must-have Minimum 2 years of experience Willing to work on local MY holidays and follow Europe holidays Flexibility in working hours/ shifts in Europe time zone. Knowledge of different investment instrument types Experience in operation environment Nice-to-have Knowledge in Excel VBA will be an added advantage Knowledge in data vendors i.e. Bloomberg and FTID will be an added advantage. What’s in it for you? We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual. A comprehensive Total Rewards Program including performance based bonuses, flexible benefits, and competitive compensation Leaders who support your development through coaching and managing opportunities A world-class training program in financial services A collaborative dynamic culture where personal initiative and hard work are recognized and rewarded.",https://my.jobstreet.com/job/82438679?type=standard&ref=search-standalone&origin=jobCard#sol=c58fc59f7138763cb0a5fe3127ab918a875b3151
Data Intelligence Analyst,Katimas Infotech Sdn Bhd,"Kuching, Sarawak",Database Development & Administration (Information & Communication Technology),Full time,"RM 2,500 – RM 3,500 per month","JOB SUMMARY: The Data Intelligence Analyst is responsible for data analysis, data visualisation, and reporting to support business intelligence and decision-making. The role involves compiling, processing, and analysing large datasets to generate insights, develop dashboards, and present findings in a visually intuitive manner. Additionally, the executive will provide system support for data-related issues, such as investigating inconsistencies, debugging database queries, and ensuring the accuracy of reports. This position requires SQL expertise and a strong analytical mindset. While prior experience is an advantage, fresh graduates with a strong foundation in data analysis and SQL are encouraged to apply. JOB DUTIES: Data Analysis & Visualisation: • Compile and analyse large datasets to extract meaningful insights and trends. • Develop interactive dashboards and reports using tools such as Power BI, Tableau, or Excel. • Perform data visualisation to present complex data in a clear and user-friendly format. • Identify patterns, correlations, and business insights that can drive decision-making. • Assist in optimising data processes to improve efficiency and reporting accuracy. SQL & Database Management: • Write and optimize SQL queries to retrieve and manipulate data efficiently. • Ensure data integrity and accuracy within databases and reporting systems. • Work with the Software Development team to debug data discrepancies, missing records, or incorrect calculations in reports. • Assist in database documentation and query optimization to improve system performance. System Support (Data-Related Issues): • Investigate data-related system issues, such as incorrect report outputs or data inconsistencies. • Provide first-level support for internal users facing data retrieval or reporting issues. • Work with the Software Development team to debug database-related problems and ensure smooth data operations. • Document frequently occurring issues and solutions to improve troubleshooting efficiency. Collaboration & Continuous Improvement: • Work closely with business units to understand their data reporting and analysis needs. • Assist in developing automation solutions to streamline data reporting. • Provide recommendations based on data-driven insights to improve operational efficiency. • Stay updated on emerging data analytics trends and best practices to enhance business intelligence. QUALIFICATIONS & REQUIREMENTS: Education & Experience: • Bachelor’s degree in Data Science, Computer Science, Information Technology, Business Analytics, or a related field. • Fresh graduates with a strong academic background in data analysis and SQL are encouraged to apply. • 1-3 years of experience in data analysis, business intelligence, or reporting is an advantage. Technical Skills: • SQL (Mandatory): Strong ability to write and optimize SQL queries for data retrieval and reporting. • Data Visualisation: Experience with Power BI, Tableau, or Excel charts/pivot tables. • Data Analytics: Ability to interpret and analyse large datasets for insights and trends. • Database Knowledge: Familiarity with databases (MySQL, PostgreSQL, SQL Server, MongoDB etc.). • Basic Programming (Optional but Advantageous): Python, R, or other scripting languages for data processing. Soft Skills: • Strong analytical and problem-solving skills. • Attention to detail in working with complex datasets. • Good communication skills to explain data findings to non-technical stakeholders. • Ability to work collaboratively with business teams and IT professionals.",https://my.jobstreet.com/job/82603893?type=standard&ref=search-standalone&origin=jobCard#sol=e770412a66138356d7f1afb7237f26783c57d15b
BI Developer (Immediate Hiring中),Douxy Enterprise,"Bukit Jalil, Kuala Lumpur","Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,"RM 4,200 – RM 6,000 per month","Design, develop, and maintain ETL pipelines to process and integrate large volumes of company data. Build and optimize reporting databases to support real-time analytics. Create and maintain interactive dashboards and reports using Power BI, Tableau and others for key business stakeholders. Collaborate with operation and marketing teams to ensure data accuracy and usability. Work with raw data from various sources, including system database, transactions, customer behavior, and marketing campaigns. Optimize SQL queries and database performance for efficient data retrieval and analysis. Assist in A/B testing, customer segmentation analysis, and fraud detection to improve business outcomes. Requirements: 1-3 years of experience in BI Development, Data Engineering, or a related field. Strong proficiency in SQL (e.g., MySQL, PostgreSQL, or SQL Server) for querying large datasets. Hands-on experience with BI tools (Power BI, Tableau, or others). Experience in ETL development using SSIS, Apache Airflow, Alteryx, or similar tools. Understanding of Python or R for data manipulation and automation is a plus. Strong analytical thinking and ability to work in a fast-paced, data-driven environment. Excellent problem-solving skills and attention to detail. Knowledge of machine learning models for customer behavior prediction.",https://my.jobstreet.com/job/82102620?type=standard&ref=search-standalone&origin=jobCard#sol=4d5538d2ee69c45ee17534be811bdb350324e5a9
Application Production Support,NTT DATA SERVICES MALAYSIA SDN. BHD.,Kuala Lumpur,Developers/Programmers (Information & Communication Technology),Full time,,"About the role We are seeking an experienced Application Production Support to join our team at NTT DATA SERVICES MALAYSIA SDN. BHD. in Kuala Lumpur. This is a full-time position where you will be responsible for providing comprehensive technical support and maintenance for our core business applications. What you'll be doing Provide day-to-day application support and incident resolution for production issues Perform application monitoring, troubleshooting and problem analysis to identify and resolve root causes Collaborate with application development teams to coordinate system changes and enhancements Manage application deployments, configurations and releases to ensure smooth operations Analyse system logs and performance metrics to proactively identify and address potential problems Document and maintain up-to-date technical specifications and operational procedures Provide guidance and training to end-users on application usage and functionality Escalate and coordinate with third-party vendors or service providers as needed What we're looking for Responsible to provide BAU support for Corporate Credit Processing systems such as REACH, Morning Excess, Default & Recovery, Global CIF, Global ADMIN IS, FOCUS systems in bank using Unix/Shell Scripting, Java etc. Responsible to provide operational support and ensure SLI of system availability, online and batch deliverables. Support diverse jurisdictions comprising of SG, MY, CN, International, BOS Fine tune applications and systems for high performance and higher volume throughput Contribute to business requirement review for technical implementation as a subject matter expert for IT to ensure SDLC standards are met Conduct review of technical and functional solutions from enhancement/project team to ensure they conform to IT standards Provide timely updates regarding production status and progress of issue resolution Provide on-call support and afterhours/weekend support as needed, covering application support and application change deployment. Have a quality mind-set with prevention attitude to attain zero defects. Able to support SIT/UAT/PROD/DR deployment, with DevOps He/she follows up to resolve issues reported by users and performs impact analysis related projects/enhancements that will impact the Corporate Banking Services applications What we offer At NTT DATA SERVICES MALAYSIA SDN. BHD., we strive to create an environment where our employees can thrive. We offer competitive remuneration, comprehensive healthcare benefits, and opportunities for professional development and career advancement. Our focus on work-life balance includes flexible working arrangements and well-being initiatives to support our employees' overall health and happiness. About us NTT DATA SERVICES MALAYSIA SDN. BHD. is a leading global IT services provider, delivering innovative technology-enabled solutions and services to clients across various industries. With a strong presence in Malaysia and worldwide, we are committed to empowering our clients' digital transformation and driving their success. Our core values of Integrity, Teamwork, Innovation and Quality guide our actions and shape the way we do business. Apply now for this exciting opportunity to join our dynamic team at NTT DATA SERVICES MALAYSIA SDN. BHD.!",https://my.jobstreet.com/job/82120712?type=standard&ref=search-standalone&origin=jobCard#sol=a3b110745467c206777610e831a4e16aa2bc58bb
IT Operation Assistant,TITANICOM TECH LIMITED,Kuala Lumpur,Help Desk & IT Support (Information & Communication Technology),Full time,,"Administrative Support Assist engineers with scheduling, ticketing, correspondence, and documentation. Manage and organize files, records, and other essential documents while ensuring accuracy and confidentiality. Coordinate meetings, appointments, and travel arrangements for engineers. 2. Work Order & Inventory Management Monitor and manage the ticket system, including assignment, scheduling, updates, spare part returns, and ticket closures. Ensure on-site engineers submit service information and checklists in compliance with company guidelines. Maintain spare parts inventory, tracking usage and returns as needed. 3. Data & Reporting Assistance Perform data entry, generate reports, and conduct basic data analysis. Assist in preparing technical documents, presentations, and performance reports. Support the project/service manager in compiling reports and presentations. 4. Cross-Department Coordination Facilitate communication and coordination between engineers, warehouse, and logistic teams to ensure smooth operations. 5. General Support & Ad Hoc Tasks Provide assistance with any additional tasks as required by the department or company. Job Requirements: Proficiency in common office software, including Excel and PowerPoint. Basic experience in data statistics and analysis. Proficiency in reading and writing in both Chinese and English, with the ability to communicate in Chinese. Detail-oriented, with strong execution skills, initiative, and self-motivation.",https://my.jobstreet.com/job/82265389?type=standard&ref=search-standalone&origin=jobCard#sol=600eefb40b62a9866c08dd4d1822bba1a411863a
