Job Title,Company Name,Location,Sector,Job Type,Salary,Job Responsibilities,URL Link
"Internship, Data Scientist (Penang and Kedah MCMC State Office)",Malaysian Communications and Multimedia Commission,Penang,"Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,,"Key Responsibilities: Data cleaning, preprocessing, and transformation tasks; Exploratory data analysis (FDA) and visualization using tools like Python, R, or Tableau; Collaborate with team members to identify relevant data sources and gather data for analysis; Build and optimize machine learning models under supervision; Develop dashboards and automated reporting systems for ongoing projects; Document processes, findings, and present insights during team meetings; and Perform research on emerging trends in data science, Al, and machine learning to recommend innovative solutions. Qualifications/Courses/Studies Background: Bachelor's Degree (ongoing) in Data Science, Computer Science, Statistics, Mathematics, or any related field; Strong foundation in statistics and programming languages like Python or R; Familiarity with machine learning concepts and frameworks; Proficiency in data visualization tools like Tableau, Power BI, or Matplotlib; Knowledge of SQL and database management systems; and Strong analytical skills and the ability to interpret complex data into actionable insights. Important Note: Must be able to intern at MCMC Penang State Office or MCMC Kedah State Office. Only shortlisted candidates will be contacted. Kindly state your internship period (from and to) in your resume.",https://my.jobstreet.com/job/82568285?type=standard&ref=search-standalone&origin=jobCard#sol=937ca777e9f02d7671a3587da74dddc17ab6b0d1
Data Scientist,ACGT Sdn Bhd,"Bukit Jalil, Kuala Lumpur",Developers/Programmers (Information & Communication Technology),Full time,,"Responsibilities: Explore and apply data pre-processing methods such as transformation and curations involving different sources of structured and unstructured data Performs data mining, processing, cleansing, and validating integrity of data from various data sources Carry out exploratory data analysis to find trends and insights Build, test and deploy machine learning algorithms and models for problem solving or process optimization Collaborate and communicate with multiple stakeholders and subject matter experts to tackle business challenges Requirements: BSc. or MSc. or Ph.D. in Mathematics, Computer Science, Data Science, Machine Learning, Artificial Intelligence or related fields provided they have a strong technical knowledge and experience in machine learning Proficient in programming and scripting skills (Python and R). Proficient in libraries for machine learning such as scikit-learn and pandas Excellent interpersonal skills, team player, resourceful and has strong analytical skills Experience in collaborative research and thriving in a fast-paced and dynamic work environment Good communication and written in English.",https://my.jobstreet.com/job/82029600?type=standard&ref=search-standalone&origin=jobCard#sol=7fa630dc6b1b98d389f658a5ce8febe77506b4cd
Associate Data Scientist (Hybrid Working),SEEK,Kuala Lumpur,"Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,,"Company Description About SEEK SEEK operates market-leading online employment marketplaces, including Jobstreet and Jobsdb in Asia. SEEK has been helping people live more fulfilling and productive working lives and helping organisations succeed for over 25 years. Founded and headquartered in Melbourne, Australia, SEEK has grown into a multinational technology company with over 3,300 employees and is listed on the Australian Securities Exchange. SEEK’s presence spans Australia, New Zealand, Hong Kong, Indonesia, Malaysia, the Philippines, Singapore and Thailand. Additionally, SEEK has minority investments in employment marketplaces in China, South Korea and Bangladesh. SEEK develops and applies innovative data and technology tools to facilitate high-quality matching and improve reliability of marketplace information. In 2021, 2022, 2023 and 2024, SEEK was recognised as one of Australia’s Top Ten Places to Work in Technology in the AFR BOSS Best Places to Work awards. SEEK was also named a 5-Star Employer of Choice by HRD Asia in 2024 and won four accolades at TalentCorp’s Life at Work Awards 2023 in Malaysia. Job Description The Role We are looking for a multifaceted and talented individual to join our team as an Associate Data Scientist. You will be a mixture of a Data Scientist, Researcher, and a Machine Learning Engineer, working with and learning from a cross functional squad of Product Managers, Data Scientists and Engineers. Successful performance in this role will be demonstrated through helping develop and deploy AI solutions which will support SEEK products such as Recommendations and Search Engines. We are looking for someone who is passionate about understanding human behavior for building and improving internet-scale products informed by data. Key Responsibilities Gathering, validating and understanding data to explore and tackle business problems. Help research, build, deploy and maintain Recommendations AI solutions coordinated with recruitment products striving to accurately connect candidates to recruiters. Participating in building models to improve the chances of matching (job placements) to demonstrate our AI platform to the next level. Collaborate with team members across Strategy, Product, Data Science and Software Development teams to address a variety of ambitious business problems.. Participate in the formulation, development, deployment, and testing of new solutions Qualifications Essential Qualifications, Skills and Experience Strong analytical and problem solving skills. Knowledge of machine learning algorithms, model tuning, data science concepts. Ability to perform data exploratory analysis. Good data extraction and processing skills using SQL, Python. Able to write serviceable code (e.g. Scala, Go, Python, Spark). Good communication and interpersonal skills. Other Qualifications, Skills and Experience A post-graduate qualification in a quantitative discipline (eg. Physics, Mathematics, Computer Science) Ability to adapt quickly and manage an environment of rapid change and development Knowledge in: Recommender Systems Data Mining Natural Language Processing Optimization Additional Information The Team The Artificial Intelligence Platform Services (AIPS) is structured into cross-disciplinary squad with members from Data Science, Strategy and Engineering who work together to research, design, build and support end-to-end machine learning based products delivering direct value to hirers and job seekers. Why SEEK This is a permanent role We are a collaborative and mature work culture Hybrid work mode Extensive employee benefits At SEEK, we are passionate about fostering a culture of inclusion and wellbeing that embraces and values the diversity of our people. We are a purpose driven business that works with heart. We know teams with diverse ideas, experiences and perspectives are more creative and are critical to ensuring effective delivery and innovating to enable our future success. As such, we welcome applications from people with diverse backgrounds and life experiences, especially as they relate to gender, sexual identity, culture, faith, disability and life stages. If you have the skills, curiosity and an adaptable mindset but don't meet every responsibility or qualification listed in this advertisement, please still get in touch with us. Should you require any specific support or adjustments throughout the recruitment process and beyond, please advise us and we will be happy to assist. SEEK kindly requests no unsolicited resumes or approaches from recruitment agencies and will not be responsible for any associated fees.",https://my.jobstreet.com/job/82265410?type=standard&ref=search-standalone&origin=jobCard#sol=4c963b491597f87c39473a430f9d9774d9e46f9e
DATA SCIENTIST,INFRA MOBILE DIGITAL SDN BHD,"Kuchai Lama, Kuala Lumpur",Database Development & Administration (Information & Communication Technology),Full time,"RM 4,000 – RM 6,000 per month","Company Overview: Infra Mobile Digital is a renowned property technology company that has been recognized with prestigious awards. As a tech consulting firm, we specialize in delivering innovative property solutions to our clients. We are currently seeking a skilled and data scientist professional with expertise in the propertyindustry to join our dynamic team. Role Overview: As a Data Scientist with a focus on property technology at Infra Mobile Digital, you will play a vital role in understanding the unique needs and challenges of the property industry. Your primary responsibility will be to gather, analyze, and document business requirements, as well as improve the user-friendliness of our property technology solutions. Your expertise will ensure that our software solutions align seamlessly with the specific demands of all industries, leading to successful project implementations. Role Responsibilities: Gather and Document Property Industry Requirements. Collaborate with stakeholders in the property industry to understand their business objectives and challenges. Elicit, analyze, and document clear and comprehensive business requirements for property technology projects, taking into consideration the various stages of the property development lifecycle, including construction to VP handover process. Data Analysis: Analyze large, complex data sets to extract actionable insights. Identify, analyze, and interpret trends or patterns in complex data sets. Model Development: Develop custom data models and algorithms to apply to data sets. Use predictive modeling to optimize customer experiences, revenue generation, and other business outcomes. Data Visualization: Create advanced visualizations to represent data insights clearlyand compellingly. Work with cross-functional teams to translate business needs into technical specifications. Continuous Learning: Stay updated with the latest industry trends and best practices. Research and implement new statistical or other mathematical methodologies as needed. Collaboration: Collaborate with engineering and product development teams. Liaise with stakeholders to understand data needs and deliver accordingly. REQUIREMENTS: Bachelor's degree in Computer Science, Information Technology or related field. Proven experience 2-3 years of working experience as a Data Scientist, with a focus on property technology or the real estate industry. Essential Skills: Power BI, Python, SQL, Perform Data Mining, Data Model, Business Intelligence. Strong interpersonal and communication skills to collaborate effectively with cross-functional teams and property industry stakeholders. Excellent analytical and problem-solving skills, understanding business requirements Proficiency in documenting business requirements, use cases, and functional specifications tailored to property technology solutions. Experience in project management and task coordination. Interested, please send your portfolio to hr@infradigital.com.my",https://my.jobstreet.com/job/82628177?type=standard&ref=search-standalone&origin=jobCard#sol=f0894c69699596e06ba987529a99ba07d37b250b
Data Scientist - Search (Hybrid Working),SEEK,"Kuala Lumpur City Centre, Kuala Lumpur",Business/Systems Analysts (Information & Communication Technology),Full time,,"Company Description About SEEK At SEEK, we serve a noble purpose: to help people live more productive and fulfilling working lives and to help organisations succeed. By joining us, you’ll be part of a multinational technology business that is far-reaching with a start-up working culture that focuses on a set of collaborative values and appreciates dynamic cultures. SEEK is a place where potential meets possibility – it’s where your career aspiration and our purpose can make great things happen. Why join us? Be part of a multi-national tech company with strong core values to help us solve complex challenges for our customers while building a flexible, exciting career – one that could take you anywhere. We’re looking for people who thrive in dynamic teams and enjoy tackling regular new challenges in a large-scale, modern, and agile environment. As one of Asia Pacific’s largest tech companies, you’ll contribute to multi-lingual systems, solving high-impact problems to the benefit of millions of people within the region. Be part of a fast-growing company with a strong culture and clear purpose, innovation and strong investment in responsible AI. SEEK offers you the opportunity to be involved in impactful work and be part of a great team. Expect a great investment in your career development with access to workshops, conferences and courses while you work alongside seasoned experts. Job Description The Team The AIPS team is structured into small, cross-disciplinary, autonomous teams of 8-20 people who research, design, develop and support ML data driven products to support the business needs of one or more of SEEK’s 18 global business units. About the role As a Data Scientist at SEEK, you'll be at the forefront of developing AI systems that transform the job search experience. You'll work with a diverse team of experts to solve complex challenges and drive meaningful outcomes. If you thrive on solving ambiguous problems and enjoy working with smart, motivated peers, this is the role for you. Responsibilities Solve Business Challenges: Collaborate with AI Product Managers, Software Engineers and fellow Data Scientists to solve business challenges, align projects with business goals, and design, develop, and test new solutions. Model Development: Create models to improve candidate/job matching, including feature engineering and hyperparameter tuning. Performance Validation: Ensure models meet business objectives through both online and offline tests (including A/B tests), along with ongoing monitoring. Data Analysis: Collect, validate, and analyse data to identify challenges and opportunities for improving future search/recommendation capabilities. Communication: Communicate findings and insights with other team members to continue upskilling and enhancing the team's knowledge and capabilities. Innovate: Stay updated on data science trends, finding opportunities to adapt and incorporate innovative techniques. Qualifications Essential Experience, Skills and Competencies Strong data extraction and processing skills using SQL and Python. Familiarity with building, optimising and deploying machine learning models to deliver business value. Good spoken and written English communication skills. Degree in Computer Science, Engineering, Statistics, Mathematics, or a related field OR equivalent experience. Desirable Experience, Skills and Competencies 2+ years of commercial experience in data-driven products. Solid understanding of diverse NLP approaches (e.g. NER, embeddings, transformer models). Information retrieval expertise, with knowledge of concepts such as NDCG, learn to rank and collaborative filtering. Experience with deep learning libraries, including PyTorch and huggingface transformers. Familiarity with Databricks and/or AWS services such as EC2, S3, and Bedrock. Experience using foundation language models (such as ChatGPT or Claude) to label data and evaluate correctness of model outputs. Project management and agile practices. Additional Information Perks and benefits At SEEK we offer: Support of flexible working, including a mix of office and work from home days depending on your role A commitment to operating sustainably, a certified carbon neutral business operation, with the target of 100% renewable energy by 2025, and net zero by 2030 Frequent events including sports days, year-end party, hackathon, and trivia At SEEK, we are passionate about fostering a culture of inclusion and wellbeing that embraces and values the diversity of our people. We are a purpose driven business that works with heart. We know teams with diverse ideas, experiences and perspectives are more creative and are critical to ensuring effective delivery and innovating to enable our future success. As such, we welcome applications from people with diverse backgrounds and life experiences, especially as they relate to gender, sexual identity, culture, faith, disability and life stages. If you have the skills, curiosity and an adaptable mindset but don't meet every responsibility or qualification listed in this advertisement, please still get in touch with us. Should you require any specific support or adjustments throughout the recruitment process and beyond, please advise us and we will be happy to assist. For this role, only those with eligible right to work will be considered. SEEK kindly requests no unsolicited resumes or approaches from recruitment agencies and will not be responsible for any associated fees.",https://my.jobstreet.com/job/82015817?type=standard&ref=search-standalone&origin=jobCard#sol=eb8f9e598ff980d679d4dd7b281ba88df5e7231b
Data Scientist (Hybrid Working),SEEK,Kuala Lumpur,"Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,,"Company Description About SEEK SEEK’s portfolio of diverse businesses, which includes Jobstreet and Jobsdb in Asia, make a positive impact on a truly global scale. Our purpose is to help people live more fulfilling and productive working lives and help organisations succeed. We create world-class technology solutions to connect more people to relevant employment, education, small business and volunteer opportunities. We have a culture of high-performance in our workplaces and celebrate the diversity of our employees who contribute to the success of our organisation. Life at SEEK SEEK’s purpose is at the centre of everything we do. Our SEEK, which defines the way we work, is all about what makes us unique and a little bit different. Passion, Team, Delivery and Future are our principles that drive innovation and creativity. SEEK strives to support employee wellbeing by providing an amazing experience at work which led us to being named AFR BOSS Top 10 Best Place to Work 2023 In Tech (third year in a row). In Malaysia, where SEEK’s Asia HQ is located, we received four accolades at the TalentCorp Life at Work Awards 2023, including first runner-up for Best International Organisation and champion for Best CHRO. We are proud to work in an environment that's inclusive where everyone's unique ideas, experiences and perspectives are valued. Job Description The Role The Data Scientist role is based in Kuala Lumpur within the Artificial Intelligence Platform Services (AIPS) team. The team is structured into cross-disciplinary squad with members from Data Science, Strategy and Engineering who work together to research, design, build and support end-to-end machine learning based products delivering direct value to hirers and job seekers. Successful performance in this role will be demonstrated through the business value contributed by developed and supported products. Further, the successful candidate will be expected to stay up to date with emerging techniques in Natural Language Processing (NLP)and machine learning, and be deeply involved in a culture of continual improvement. This role will report to a Senior Data Scientist / Principal Data Scientist within AIPS. AIPS has a matrix structure where your direct line manager will act as a coach and technical mentor but your day-to-day activity will be determined by the squad priorities. Key Responsibilities Forming clear data addressable problem statements from current business problems Gathering, validating and understanding data relevant to the problem statement Designing and building data transformation pipelines and machine learning algorithms to solve the business problem Working with product management and other business stakeholders to review and iterate data products to fit emerging market trends Evangelising appropriate ML methods and explaining them, and their associated benefits and limitations to team members from Engineering and Strategy. Qualifications Essential Qualifications, Skills and Experience Post graduate qualification in a quantitative field (e.g. Physics, Mathematics, Bioinformatics, Computer Science) Advanced data extraction and processing skills using SQL, Spark, etc Familiarity with S3, EC2 and/or EMR in AWS. Deep knowledge of machine learning algorithms and efficient data structures, ensembling and model performance tuning Experience with NLP Confident working at the command line in a *nix environment Able to write serviceable code (e.g. Scala, Go, Python, Ruby) and comfortable working with and around a professional software development teams Good communication and interpersonal skills with the ability to communicate with business key decision makers and product owners Ability to adapt quickly and thrive in an ambiguous and rapidly changing environment Other Qualifications, Skills and Experience Experience with Deep Learning (particularly CNNs and RNNs) Track record in working independently within an agile team environment, scoping work, making and keeping commitments to deliver against a shared agenda Experience working with datasets which do not fit within memory on a single machine Additional Information The Team The AIPS team is structured into small, cross-disciplinary, autonomous teams of 4-10 people who research, design, develop and support ML data driven products to support the business needs of one or more of SEEK’s 18 global business units. Why SEEK Hybrid working mode Permanent position Mature and collaborative working culture Extensive employee benefits At SEEK, we are passionate about fostering a culture of inclusion and wellbeing that embraces and values the diversity of our people. We are a purpose driven business that works with heart. We know teams with diverse ideas, experiences and perspectives are more creative and are critical to ensuring effective delivery and innovating to enable our future success. As such, we welcome applications from people with diverse backgrounds and life experiences, especially as they relate to gender, sexual identity, culture, faith, disability and life stages. If you have the skills, curiosity and an adaptable mindset but don't meet every responsibility or qualification listed in this advertisement, please still get in touch with us. Should you require any specific support or adjustments throughout the recruitment process and beyond, please advise us and we will be happy to assist. SEEK kindly requests no unsolicited resumes or approaches from recruitment agencies and will not be responsible for any associated fees.",https://my.jobstreet.com/job/82088755?type=standard&ref=search-standalone&origin=jobCard#sol=0764cf2e440d8ac3ad956d51a5ef7d520cb1527e
Data Scientist,Agensi Pekerjaan Hays (Malaysia) Sdn Bhd,"Puchong, Selangor",Other (Information & Communication Technology),Full time,$8000.0 - $15000.0 p.m.,"Your new company Pioneering company at the forefront of automotive technology with a mission to enhance the reliability and efficiency of their technology through cutting-edge data science and machine learning solutions. Your new role Maintaining existing battery prediction models. Conducting exploratory data analysis (EDA) for new battery types. Building features, creating machine learning models, evaluating model performance, and deploying to production with MLOps. Collaborating with a cross-functional team to ensure seamless integration and continuous improvement. What you'll need to succeed Proven experience in the full data science cycle, from EDA to MLOps. Proficiency in Python, SQL, and popular machine learning libraries (e.g., Scikit-learn). Experience with big data processing using PySpark and data storage solutions like PostgreSQL. Knowledge of Databricks, MLOps and Docker is a plus. Strong analytical skills and the ability to work independently on product increments. Excellent communication skills to collaborate effectively with the existing team. What you'll get in return The opportunity to work on a high-impact project with global reach. A collaborative and innovative work environment. Competitive salary and benefits package. Professional growth and development opportunities. The chance to be part of a team that is shaping the future of EV technology. What you need to do now If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV. If this job isn't quite right for you, but you are looking for a new position, please contact +603 5870 5005 for a confidential discussion about your career.",https://my.jobstreet.com/job/82613255?type=standard&ref=search-standalone&origin=jobCard#sol=4991818b510492d9b88b02bfedaedcc8dc91df6a
Data Scientist,Carsome Sdn Bhd,"Mutiara Damansara, Selangor","Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,,"About You CARSOME is searching for a Data Scientist who thrives on unraveling complex business challenges through data analysis. You'll be an innately curious and highly analytical individual, adept at translating business problems into technical requirements and extracting meaningful insights from data. If you possess these qualities and are excited about using your data expertise to solve real-world challenges, consider applying! Your Day-to-Day Understand business processes deeply, identify opportunities where data science can add value, and solve problems using advanced statistical analyses or machine learning techniques as necessary, including prescriptive analytics and predictive modelling Initiate, design and lead projects to maximise business impact with the right data driven solution across business functions, including pricing and inventory (e.g. price prediction and optimization), operations (e.g. computer vision automation), customer conversion (e.g. recommendation and personalisation engine), etc. Responsible for ensuring successful end-to-end delivery and maintenance of machine learning, data science and AI initiatives, including measurement of model performance in action and monitoring for drifts over time Work with MLOps engineers in developing machine learning pipelines to streamline and automate the deployment of models. Ensure timely high standard delivery of output and documentation Design and execute experiments iteratively to improve the performance of data science solutions deployed Propose framework and drive hypothesis validation, ensuring statistically sound decision making from proper A/B test setups whenever feasible Work with Product & Tech teams across organisations to enhance data collection process as necessary Your Know How Innately curious, highly analytical and enjoy distilling complex business problems into technical requirements and find answers in the data At least 3 years of practical experience in data science, advanced business analytics, machine learning, AI or computer vision Experience in the complete modelling lifecycle, from ideation to deployment and continual monitoring and maintenance Proficient in Python and/or R. Preferably Python Comfortable using SQL for data exploration, and analysis. Preferably familiar with Google BigQuery or similar Result-oriented and resourceful. You can cut to the core of a problem, identify what needs to be done, and work with the teams to make things happen Constructive communication of ideas, issues, and solutions in a team environment Self-starter who is extremely motivated to continue learning and growing, able to pick up new skills quickly Experience in MLOps framework, cloud services by AWS/ GCP, Tensorflow/ Pytorch will be an advantage. Experience in the automotive or e-commerce industry Experience working at a tech startup or fast-growing organisation Experience in computer vision or AI research",https://my.jobstreet.com/job/82567028?type=standard&ref=search-standalone&origin=jobCard#sol=245760131c83f22042a77903941380db55e5680b
Data & Analytics Engineer,Eng Teknologi Sdn. Bhd.,"Bayan Lepas, Penang",Business/Systems Analysts (Information & Communication Technology),Full time,"RM 4,000 – RM 6,000 per month","At Engtek, we’re on a mission to harness the power of data to drive smarter decisions and innovation. As a Data & Analytics Engineer, you’ll play a key role in building and maintaining a robust data platform, ensuring data integrity, and enabling data-driven insights. You'll also develop dashboards that transform raw data into actionable intelligence. If you thrive on solving data challenges and want to be part of a dynamic team, we’d love to hear from you. JOB DESCRIPTION/RESPONSIBILITIES Build & Maintain the Data Pipeline & Platform – Work with internal teams and vendors to set up and sustain a high-performance data infrastructure. Data Extraction, Transformation & Modelling – Design and optimize data models, develop ETL pipelines, and ensure efficient integration of structured and unstructured data from multiple sources. Data Visualization & Reporting – Create and manage dashboards using tools like Power BI or Tableau, enabling business teams to make data-driven decisions. Ensure Data Integrity – Monitor data quality, troubleshoot inconsistencies, and optimize data processes for accuracy and reliability. Collaboration & Innovation – Work closely with business users to understand data needs and continuously improve our data ecosystem. JOB REQUIREMENTS Bachelor’s degree in Computer Science, Data Science or any comparable studies on IT, Data Analytics & Engineering. 1 – 2 years of experience in data engineering, data analysis, or a related field. Fresh graduates with coursework or projects involved data engineering are encouraged to apply. Proficiency in SQL for querying, transformation, and performance optimization. Understanding of d ata modelling principles and database architecture. Experience with ETL tools and data pipeline management is a plus. Familiarity with data visualization tools (Power BI, Apache Superset, etc.). Basic knowledge of programming languages such as Python. Strong analytical thinking and problem-solving skills. Willingness to learn and adapt to new tools and technologies. Excellent communication skills to collaborate with technical and non-technical stakeholders.",https://my.jobstreet.com/job/82186303?type=standard&ref=search-standalone&origin=jobCard#sol=bfafa9b70e0651dd6ab510891729c27b538163ec
Data Scientist,Pos Malaysia Berhad,Kuala Lumpur,"Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,,"Join us in being a Pos Malaysia Wira! At Pos Malaysia, we are passionate about building trust to connect lives and businesses for a better tomorrow. As we transform this incredible 200-year-old business we are looking for highly motivated, engaged, passionate and driven individuals to join our team- someone who is up for the transformation challenge and excited by the significant opportunity it represents. Own It: Build a deep understanding of enterprise business challenges & operations to propose and deliver data driven insights & solutions across various business verticals. Ability to frame a business problem through an analytics lens and leverage on deep insights from data to build and structure a solution design that meets the business objectives. Ability to perform macro to micro level segmentation analysis driven towards hypothesis testing & analysis interpretation. Demonstrates technical skills to extract and analyze large data sets from various database sources to piece together an insight story board to drive decision making. Ability to conduct and moderate presentations/discussion with clients and business partners to drive discussion on scoping of business opportunities and delivery of solutions. Build Trust Engage closely with stakeholders and proactively create business aligned data, metrics and analytics strategies. Implementing solutions and gaining support of multiple stakeholders. One Team Ability to communicate effectively with all levels of employees in both written and verbal communication. Move Fast Continuously find ways to help teams and the organization improve the way of working. Enjoy working in a fast-moving transformation journey. Adapt, simply and act quickly based on the business needs. Delight Customers Identify and strategize any opportunities to improve the process for more insightful driven. Effective communication on any maintenance and support. Requirements: Bachelor’s Degree in Data Science, Econometrics, Engineering, Mathematics, Applied Science, Computer Science, Statistics, Physics, or related field. 3-4 years of experience in data science/analytics. Adept in multiple programming languages: primarily Python (Numpy, Pandas), SQL. Familiar with data visualization stack: PowerBI, matplotlib will be value added. Excellent verbal and written communications in English. This is a super exciting time to be joining Pos Malaysia. Your contribution will help us to write the next chapter in our history.",https://my.jobstreet.com/job/82445898?type=standard&ref=search-standalone&origin=jobCard#sol=dd57acce314d2a2873985a49fcf5addd1261ec88
