Job Title,Company Name,Location,Sector,Job Type,Salary,Job Responsibilities
"Software Engineer, AI Model Training",Gear Inc.,Kuala Lumpur,Engineering - Software (Information & Communication Technology),Full time,"RM 5,000 – RM 7,000 per month","About the Opportunity: Gear Inc. is looking for talented coders to contribute to the development and training of Generative Artificial Intelligence (GenAI) models. This role offers flexibility, as you can work either as a full-time employee or a freelancer, with remote work options and flexible hours to suit your schedule. Responsibility: Develop and answer technical questions related to computer science to support GenAI model training. Evaluate and rank code generated by AI models, ensuring accuracy and efficiency. Desired Expertise: Currently enrolled in or holding a bachelors degree (or higher) in Computer Science from a selective institution. Proficiency in one or more of the following programming languages: Java, Python, JavaScript/TypeScript, C++, Swift, Verilog Excellent ability to explain complex technical concepts clearly and fluently. Exceptional attention to detail, including grammar, punctuation, and adherence to style guidelines."
AI Engineer,DES DIGITAL MARKETING SDN. BHD.,"Subang Jaya, Selangor",Engineering - Software (Information & Communication Technology),Full time,"RM 5,000 – RM 7,500 per month","Key Responsibilities: • Conduct R&D to embed LLMs into company-wide operations, transforming business processes. • Rapidly prototype, architect, and implement sophisticated LLM-based solutions, moving from concept to production. • Research, design, and develop high-quality prompts and frameworks for Generative AI (GenAI) applications. • Systematically evaluate LLM performance and propose metrics to measure success. • Identify, develop, and implement innovative solutions, such as LLM agents and Retrieval-Augmented Generation (RAG) systems. • Collaborate with data scientists, machine learning engineers, and product teams to deploy GenAI applications effectively. • Clearly communicate GenAI capabilities, strengths, and limitations to stakeholders for informed decision-making. • Stay abreast of the latest research and developments in LLMs, prompt engineering, and GenAI technologies.Skills & Qualifications: Must-Have Skills: • Proven expertise in software engineering with strong programming skills in Python. • Solid understanding of LLMs, prompt engineering techniques, and GenAI technologies. • Experience with frameworks such as LangChain, LlamaIndex, or similar. • Research-oriented mindset with a strong focus on learning and ideation. • Track record of delivering production-grade software, emphasizing clean, maintainable, and testable code. • Familiarity with tools like ChatGPT, Claude, Perplexity, and related systems. • Analytical mindset with attention to detail for designing and evaluating experiments. • Entrepreneurial attitude, demonstrating ownership and problem-solving initiative. Nice-to-Have Skills: • Experience designing RAG solutions and working with vector databases. • Hands-on experience with LLM fine-tuning, model quantization, and self-hosting. • Awareness of LLM-related security concerns, such as prompt injection and data poisoning."
AI Engineer AI工程师,Private Advertiser,Kuala Lumpur,Engineering - Software (Information & Communication Technology),Full time,"RM 10,000 – RM 15,000 per month","Job Responsibilities: 1. Conduct in-depth research on new technologies and applications, proactively explore industry development, and propose effective solutions or plans based on business scenarios. 2. Evaluate, select and integrate existing solutions in the market to solve business pain points 3. Participate in communication with other departments, apply AI technology to actual business, and provide innovative tools for the business 4. Regularly share project experience with the team to improve the team’s technical level 5. Complete other related tasks arranged by the company 1. Diploma or bachelor's degree in Artificial Intelligence or related field (or equivalent experience) 2. At least 1 years & above of experience in AI. 3. At least be proficient in using any programming development language, and be able to use AI-related technologies, such as golang, python, java, etc. 4. Familiar with mainstream and common related algorithms and models, and have a certain understanding of AI principles 5. Be familiar with common AI generation model frameworks and be able to apply them 6. Have a strong interest in technical research and exploration, have strong self-learning ability, be pragmatic and responsible, and be highly committed to work. 7. Have good communication, analysis and understanding skills, and be able to decompose the collected requirements into output through AI technology to improve productivity. 8. Required language(s): Bahasa Malaysia, MANDARIN, English. Prefer Mandarin-speaking candidates (SPEAK,READ, and WRITE in MANDARIN) to liaise with China colleagues & customers. 9. Able to start work immediately. Other Benefits Festival celebration & gift Team building Afternoon teas & soft drink, snack 5 days working days Near by Public Transport (LRT) Provide Parking Allowance & Public Transport Allowance/ per month Medical Insurance"
Machine Learning Engineer (Artificial Intelligence),FootfallCam,Kuala Lumpur,Engineering - Software (Information & Communication Technology),Full time,"RM 4,000 – RM 6,000 per month","We are seeking a highly motivated individual, the best of the bests talent to join our team as a Machine Learning Engineer (Artificial Intelligence). We welcome new graduates as well as experienced professionals who have the passion, curiosity, ability, and determination to be the best ML or AI engineer. Responsibilities: Design, develop, and deploy machine learning models and algorithms for complex and unique datasets, using various techniques such as mathematical modeling, scikit-learn, NLP, CNN, RNN, DL, RL, Transformers, GAN, LLM, RAG, prompt engineering, GPT, AI Agent. Collaborate with cross-functional teams to extract insights, identify business opportunities and provide data-driven recommendations Stay up-to-date with the latest machine learning and AI techniques and tools Communicate complex technical concepts to non-technical stakeholders in an easy-to-understand manner Requirements: Bachelor's degree or higher in Computer Science, Mathematics, Statistics, Actuarial Science, Informatics, Information Science or related fields Strong analytical skills and attention to detail Participation in Kaggle, Mathematics Olympiad or similar competitions is a plus Excellent programming skills in Python, R, Java, or C++ Familiar with ML frameworks such as Tensorflow, Keras, PyTorch, MLFlow, AutoML, TensorRT, CUDA Excellent communication and collaboration skills Experience with designing, training, and deploying machine learning models Customer centric and committed to deliver the best AI results to customers As a Machine Learning Engineer, you will receive guidance from experienced senior AI specialists and have opportunities for professional growth and advancement within the company. Possible future career paths after 2 years include Senior Machine Learning Engineer, AI Architect, AI Team Lead, Data Scientist, Data Architect, Data Lead, Research Engineer, Senior Research Engineer. Please note that this position is only for the best of the bests, and we expect candidates to have a strong mathematical background and the grit to solve complex problems. If you believe you have what it takes to excel in this challenging position, apply now. Fresh Graduates are also encouraged to apply!"
AI Engineer - Campus Hire 2025,Lenovo,"Petaling Jaya, Selangor",Engineering - Software (Information & Communication Technology),Full time,,"Responsibilities: Participate in the implementation and delivery of AI projects, and design and implement corresponding AI solutions for different business scenarios. Improve and optimize existing AI algorithms and models to improve their performance and efficiency. Explore AI innovation and application. Qualification: Educational Background: Bachelor's or Master's degree in Computer Science, Information Technology, Statistics, Mathematics, or a related field. Skill Requirements: Familiar with machine learning and deep learning algorithms, Good programming ability, proficient in Python, and experience in AI project development is preferred. Strong learning ability with a willingness to quickly grasp new tools and technologies. Good communication skills and team spirit."
AI Engineers,TORAY MALAYSIA SYSTEMS SOLUTION SDN. BHD.,"Perai, Penang",Engineering - Software (Information & Communication Technology),Full time,"RM 3,800 – RM 5,500 per month","Job Description: • To perform activities of requirement gatherings and producing specifications for new or modified features, products, and capabilities, aligned with the organization standards. • Expected to participate in and carry out projects to research, develop, testing and deploy machine learning algorithms and predictive models. • Create /enhance scalable machine learning algorithm, predictive model using AI Tools. • Transforming the machine learning models into APIs that other applications can interact with. • Integrate, test, tunes, monitor and support AI related model and APIs. • Explaining the usefulness of the AI models created to a wide range of individuals within the organization. • To accomplish projects or given tasks within the estimated timeframe. • Produce high-quality documentation. • Report status and issues to the Project Manager(s). • Support any others ad hoc IT duties assigned. Requirements: • Bachelor’s degree in Computer Science or Engineering (Electrical / Electronic) or equivalent • 1-2 Years’ experience in programming (C#, python, SignalR, MVC), SQL, relational databases, software development and AI architecture and systems • Strong problem-solving and analytical skill. • Exposure to AI related technologies such ML Platform, model training environment & AI framework • Process analysis, design, implementation, problem solving, system testing (UAT) and bug fixes • Team player with ability to work in a team and individual contributor • Good interpersonal and communication skills in English • Ability to learn and ramp up quickly on emerging technologies is an added plus."
Software & AI engineer,Intralink Techno Sdn Bhd,"Semenyih, Selangor",Developers/Programmers (Information & Communication Technology),Contract/Temp,"RM 5,000 – RM 6,000 per month","🔹 Key Responsibilities: 1. To help Finance Manager to fully utilise advance tool and Macro and Microsoft product for achieving below for account department : ✅ Automate financial, production, and inventory reports using PowerQuery, Excel VBA & Power Automate. ✅ Develop interactive dashboards in Power BI to track output, reject rate, stock levels, SO completion, labor KPIs, etc. ✅ Integrate Excel & Power BI with SAP Business One data to create near real-time reporting. ✅ Optimize data collection workflows from production (e.g., supervisor reports, scanned data). ✅ Design automation scripts for data validation, report generation, and business intelligence. 2. To help all other staff to solve any software issue they face , and to train them to improve their software skills and increase adoption of software in all their works 3. To set up a proper access controlled company wide centralise share folders system to keep all works , file , data , document, drawing etc of all staff 4. To be responsible to advise the management on data security , VPN , firewall and other good practice for data protection system. 5. To assist Factory process and automation engineer in software and Ai related matters and try to in corporate Ai into their machine and Process automation Projects 6. In the later stage , design , build and implementing AI-driven solution for business processing and chatbot is required 🔹 Required (Must-Have) Skills: * Excel VBA (Advanced) – Experience writing macros, automating calculations, and formatting reports. * Power Automate – Setting up automated workflows between Excel, SAP B1, and Power BI. * Power BI – Designing dashboards, integrating data sources, and visualizing KPIs. * SAP B1 Data Handling – Extracting, structuring, and automating SAP B1 financial & production and stock data for reporting. 🔹 Secondary Skills – Candidate Must Be Willing to Learn for Future AI Development: but if candidate already possess this then it is an added advantage : * Python, .NET,C-Sharp, JavaScript, or MSSQL – Not required immediately, but strong commitment to learning is essential. * AI & Machine Learning – Future integration for predictive analysis and customer chatBot * API & System Integration – Connecting SAP B1 to custom automation tools or AI-driven systems. 🔹 What We Offer: * Opportunity to lead AI & automation projects from the ground up. * Hands-on experience integrating Excel VBA, Power BI, and SAP B1. * Freedom to explore new automation technologies and AI solutions. * Potential for contract extension based on project success."
Software Engineer - AIPS (Hybrid Working),SEEK,"Kuala Lumpur City Centre, Kuala Lumpur",Engineering - Software (Information & Communication Technology),Full time,,"Company Description About SEEK SEEK is a diverse group of companies, comprised of a strong portfolio of online employment, educational, commercial and volunteer businesses. SEEK operates across 18 countries globally and is a market leader in 14 of these, and across our global footprint we have exposure to some of the world’s largest economies and early stage markets with large and growing populations. SEEK makes a positive contribution to people’s lives on a global scale. SEEK is listed on the Australian Securities Exchange, where it is a top 60 company with a market capitalisation over A$10billion and has been listed in the Top 20 Most Innovative Companies Globally by Forbes, and Number One in Australia. For more than twenty years, SEEK has been an integral part of Australians’ job-search process, and as the country’s leading employment marketplace is uniquely positioned to empower Australians with career, education and volunteer opportunities to create productive and fulfilling working lives. The Team The AI & Platform Services (AIPS) team exists within the Seek Group and provides AI-centric core services that scale globally including search, behavioural tracking, recommendations, candidate matching, ontological services and personalisation. AIPS works primarily with internal partners, providing services to these partners, who in turn deliver products to customers (candidates, hirers). Members of the AIPS team fall into one of three primary roles AI (artificial intelligence and machine learning) Strategy (business, product, go to market) Engineering (development, DevOps, responsible for production systems) People representing each of these roles are combined into squads which are in turn responsible for related sets of business services. Job Description Key Responsibilities: Turn sophisticated requirements into practical solutions Design and implement robust, scalable components with a focus on performance Own system components, including implementation and managing technical debt Ensure high service availability and meet SLAs Collaborate with data scientists, ontologists, and engineering managers in an agile environment Contribute to system roadmaps and capacity planning Develop comprehensive testing strategies Drive continuous delivery practices and improve team efficiency Support and mentor team members, removing obstacles Balance immediate delivery needs with long-term sustainability Design and conduct experiments to evaluate algorithms Participate in on-call rotation for critical services Align technical solutions with AIPS strategy and objectives Qualifications Required Qualifications: Bachelor's degree in Computer Science, Software Engineering, or related field, or equivalent experience 3+ years of software development experience Proficient in Python, TypeScript, and Java; Scala experience is a plus Strong experience with AWS cloud platform Understanding of machine learning, deep learning, and LLMs Experience with functional programming is a plus Proven track record to build and maintain scalable, resilient systems Skilled in crafting robust software architecture Experience with CI/CD pipelines and modern DevOps practices Professional Skills: Excellent problem-solving and analytical skills Strong collaborator management and requirements gathering Clear and effective communication Success in cross-functional teamwork Dedication to continuous learning and staying updated with industry trends Desired Skills: Familiarity with ontology and knowledge graph systems Experience with AI/ML platforms and services Perks and benefits Support of flexible working, including a mix of office and work from home days depending on your role. The opportunity to work from anywhere for up to 4 weeks per financial year Casual dress – every day Additional Information At SEEK, we are enthusiastic about encouraging a culture of inclusion and wellbeing that embraces and values the diversity of our people. We are a purpose driven business that works with heart. We value diverse perspectives for creativity and effective delivery. We encourage applicants from various backgrounds. Should you require any specific support or adjustments throughout the recruitment process and beyond, please advise us, and we will be happy to assist. For this role, only those with eligible right to work will be considered. SEEK kindly requests no unsolicited resumes or approaches from recruitment agencies and will not be responsible for any associated fees. Accommodations for disabilities are available during application, interviews, work functions, and benefits."
Graduate Software Engineer / Developer,FootfallCam,Kuala Lumpur,Engineering - Software (Information & Communication Technology),Full time,"RM 3,800 – RM 5,700 per month","This is for people that are passionate in programming, that wanted to build a career in hardcore programming, optimizing bit by bit. You will have opportunities to learn different programming languages and working in large projects. People who are keen to know and make use of Object Oriented Principle, Domain Driven Design, Test Driven Development, you are welcomed to apply this. If you are fresh graduate, this role is for you to get the fundamental right, you will be put under guidance of senior engineer for 3 to 6 months, day to day operation, handling customer requirement, projects delivery, testing of software, familiarize with environment, and tools. Join our dynamic team and be part of a fast-paced environment where you'll have the opportunity to learn and grow your skills in cutting-edge technologies. What you'll do: Develop diverse applications: Be involved in the creation of web, mobile, and desktop applications to meet various needs. Enhance data insights: Contribute to the development of metrics, data enrichment, and widgets to provide valuable insights. Create user-friendly interfaces: Design and build dashboards, reports, and configuration pages that simplify user navigation. Continuously improve: Collaborate with our team to enhance our product experience and deliver exceptional solutions. Required skills and experience: Strong understanding of HTML, CSS, and JavaScript Experience with popular frameworks like jQuery, Angular, and React Knowledge of mobile app development (Android or iOS) Familiarity with RESTful APIs Proficiency in programming languages such as C#, Python, or Java A passion for learning new technologies and solving complex problems Prefer graduates from Computer Science, Software Engineering, Information System, Electronic and Electrical, Mechatronic, Information Technology and related courses. Possible career opportunities after completed 2 years of training: Back End Developer, Front End Developer, Web Developer, Mobile App Developer, .NET Developer, Full Stack Developer, Image Processing Specialist, Data Scientist, Support Engineer, System Analyst, IoT, Database Administrator, Data Engineer, Software Developer, DevOps Engineer, Embedded Software Engineer Data Analyst ,Big Data, Computer Science ,IT ,AI ,System Analyst ,Business Analyst ,Information Technology ,Programming ,Programmer ,C# ,Data Science ,Fresh Graduate ,Database Administrator ,DBA ,Software Engineer, Software Developer ,IoT ,Cloud Computing ,Web Development ,Frontend ,HTML ,Java ,Python ,Full Stack ,Image Processing ,Artificial Intelligence ,Intelligent System ,Networking ,Application ,Firmware ,Embedded, Power BI"
Programmer - Machine Learning,ACGT Sdn Bhd,"Bukit Jalil, Kuala Lumpur",Developers/Programmers (Information & Communication Technology),Full time,,"Responsibilities: Design and implement cloud solutions and CICD pipelines, build MLOps on Azure platform. Run code refactoring and optimization, containerization, deployment, versioning and monitoring of its quality. Work with the data science team to research, develop, evaluate and optimize various models using different machine learning algorithms for problem solving or process optimisation. Execute projects involving machine learning algorithm for computer vision applications using learners such as neural networks, clustering, segmentation, object detection, tracking. Design the self-running applications and software that makes use of that data and automates predictive models. Requirements: BSc. or MSc. or Ph.D. in Mathematics, Computer Science, Data Science, Machine Learning, Artificial Intelligence or related fields provided they have a strong technical knowledge and experience in machine learning. Experience in design and implement Azure cloud-based solution and services. Proficient in programming and scripting skills (Python and R). Proficient in machine learning framework such as scikit-learn, pandas, TensorFlow or Keras. Experience in Geo-spatial analytical skills and GIS python library (GDAL, ArcPy, Geopandas, etc.) is a plus. Excellent interpersonal skills, team player, resourceful and has strong analytical skills. Good communication and written in English."
