Job Title,Company Name,Location,Sector,Job Type,Salary,Job Responsibilities,URL Link
Machine Learning Engineer,Private Advertiser,"Bangsar South, Kuala Lumpur",Engineering - Software (Information & Communication Technology),Full time,"RM 8,000 – RM 11,000 per month","What you'll be doing? Model Development: Design and build scalable machine learning models that drive innovation and solve complex problems. Data Analysis: Dive into diverse datasets, preparing and preprocessing information to fuel powerful model training. Model Optimization: Train, validate, and fine-tune machine learning models to achieve peak performance and accuracy. Deployment Expertise: Bring models to life by deploying them into production and seamlessly integrating with existing systems. Performance Monitoring: Keep a vigilant eye on model performance, ensuring continued accuracy and relevance through updates. Cross-functional Collaboration: Work closely with data scientists, software engineers, and product managers to deliver impactful solutions. Continuous Learning: Stay ahead of the curve by researching the latest developments in machine learning and AI. Who are they looking for? Educational Background: A degree in a relevant field, demonstrating a strong foundation in machine learning concepts. Experience: At least 2 years of hands-on experience in machine learning or related areas. Language Proficiency: Fluency in Bahasa Malaysia, English, and Mandarin to facilitate effective communication. Technical Prowess: Expertise in scikit-learn, JAX, PyTorch, TensorFlow, Java, Go, and Python to tackle diverse technical challenges. Why you should consider this opportunity? Our client offers an attractive remuneration package and other benefits, such as: Medical/ Dental/ Optical Claim Medical Insurance Team Building Activity Company Trip Transport Allowance Meal Allowance Birthday Allowance 13th month salary Working Hour: 5 days work week Monday to Friday, 9am to 6 pm Ready to join this role? Click Apply now to submit your resume and share your availability and expected salary with us! We value diversity and encourage applications from candidates of all backgrounds and experiences. All information received will be kept strictly confidential and will be used only for employment-related purposes.",https://my.jobstreet.com/job/82206598?type=standard&ref=search-standalone&origin=jobCard#sol=8e230aa73112bf0a2df710c39780a8b07c4ca979
Machine Learning Engineer (Artificial Intelligence),FootfallCam,Kuala Lumpur,Engineering - Software (Information & Communication Technology),Full time,"RM 4,000 – RM 6,000 per month","We are seeking a highly motivated individual, the best of the bests talent to join our team as a Machine Learning Engineer (Artificial Intelligence). We welcome new graduates as well as experienced professionals who have the passion, curiosity, ability, and determination to be the best ML or AI engineer. Responsibilities: Design, develop, and deploy machine learning models and algorithms for complex and unique datasets, using various techniques such as mathematical modeling, scikit-learn, NLP, CNN, RNN, DL, RL, Transformers, GAN, LLM, RAG, prompt engineering, GPT, AI Agent. Collaborate with cross-functional teams to extract insights, identify business opportunities and provide data-driven recommendations Stay up-to-date with the latest machine learning and AI techniques and tools Communicate complex technical concepts to non-technical stakeholders in an easy-to-understand manner Requirements: Bachelor's degree or higher in Computer Science, Mathematics, Statistics, Actuarial Science, Informatics, Information Science or related fields Strong analytical skills and attention to detail Participation in Kaggle, Mathematics Olympiad or similar competitions is a plus Excellent programming skills in Python, R, Java, or C++ Familiar with ML frameworks such as Tensorflow, Keras, PyTorch, MLFlow, AutoML, TensorRT, CUDA Excellent communication and collaboration skills Experience with designing, training, and deploying machine learning models Customer centric and committed to deliver the best AI results to customers As a Machine Learning Engineer, you will receive guidance from experienced senior AI specialists and have opportunities for professional growth and advancement within the company. Possible future career paths after 2 years include Senior Machine Learning Engineer, AI Architect, AI Team Lead, Data Scientist, Data Architect, Data Lead, Research Engineer, Senior Research Engineer. Please note that this position is only for the best of the bests, and we expect candidates to have a strong mathematical background and the grit to solve complex problems. If you believe you have what it takes to excel in this challenging position, apply now. Fresh Graduates are also encouraged to apply!",https://my.jobstreet.com/job/82197075?type=standard&ref=search-standalone&origin=jobCard#sol=3be2be64f819d29fd047ace6fbb87371c022332d
Machine Learning Engineer,GlobalFoundries,"Penang Island, Penang",Engineering - Software (Information & Communication Technology),Full time,,"About GlobalFoundries GlobalFoundries is a leading full-service semiconductor foundry providing a unique combination of design, development, and fabrication services to some of the world’s most inspired technology companies. With a global manufacturing footprint spanning three continents, GlobalFoundries makes possible the technologies and systems that transform industries and give customers the power to shape their markets. For more information, visit www.gf.com. Your Job: Take ML models/algorithms from conception to production, by designing and implementing ML microservices and pipelines in production environment. Develop pipelines for continuous operation, feedback and monitoring of ML models leveraging best practices from the CI/CD vertical within the MLOps domain. This can include monitoring for data drift, triggering model retraining and setting up rollbacks. Maintain and continuously optimize live productive ML services with a focus on scalability, availability, and reliability. Strive for automation and cloud operation readiness. Collaborate with data scientists and data engineers to deliver ML models in productive services. Stay updated with the latest trends and technologies in AI/ML, GenAI and MLOps to drive innovation and system enhancements. Required Qualifications: Bachelor's degree in computer science or equivalent. A minimum of 4 years' experience in software engineering or machine learning engineering is preferred. Strong programming skills in Python, Java and SQL variants, with knowledge of design patterns, code optimization, and object-oriented design. Proficiency in ML operationalization and orchestration (MLOps) tools, techniques and platforms. This includes scaling delivery of models, managing and governing ML Models, and managing and scaling AI platforms Familiar with Kubernetes and Docker, including installation, deployment, configuration and optimization. Good understanding of ML frameworks such as TensorFlow, Keras, PyTorch. Experience in web development skills such as HTML, Javascript, CSS is a big plus. Knowledge of AWS cloud platform would be an advantage. GlobalFoundries is an equal opportunity employer, cultivating a diverse and inclusive workforce. We believe having a multicultural workplace enhances productivity, efficiency and innovation whilst our employees feel truly respected, valued and heard. As an affirmative employer, all qualified applicants are considered for employment regardless of age, ethnicity, marital status, citizenship, race, religion, political affiliation, gender, sexual orientation and medical and/or physical abilities. All offers of employment with GlobalFoundries are conditioned upon the successful completion of background checks, medical screenings as applicable and subject to the respective local laws and regulations.",https://my.jobstreet.com/job/81898349?type=standard&ref=search-standalone&origin=jobCard#sol=cbbbc940ad55aa42ee3d869a2b7344d7f023e8fd
AI Engineer,DES DIGITAL MARKETING SDN. BHD.,"Subang Jaya, Selangor",Engineering - Software (Information & Communication Technology),Full time,"RM 5,000 – RM 7,500 per month","Key Responsibilities: • Conduct R&D to embed LLMs into company-wide operations, transforming business processes. • Rapidly prototype, architect, and implement sophisticated LLM-based solutions, moving from concept to production. • Research, design, and develop high-quality prompts and frameworks for Generative AI (GenAI) applications. • Systematically evaluate LLM performance and propose metrics to measure success. • Identify, develop, and implement innovative solutions, such as LLM agents and Retrieval-Augmented Generation (RAG) systems. • Collaborate with data scientists, machine learning engineers, and product teams to deploy GenAI applications effectively. • Clearly communicate GenAI capabilities, strengths, and limitations to stakeholders for informed decision-making. • Stay abreast of the latest research and developments in LLMs, prompt engineering, and GenAI technologies.Skills & Qualifications: Must-Have Skills: • Proven expertise in software engineering with strong programming skills in Python. • Solid understanding of LLMs, prompt engineering techniques, and GenAI technologies. • Experience with frameworks such as LangChain, LlamaIndex, or similar. • Research-oriented mindset with a strong focus on learning and ideation. • Track record of delivering production-grade software, emphasizing clean, maintainable, and testable code. • Familiarity with tools like ChatGPT, Claude, Perplexity, and related systems. • Analytical mindset with attention to detail for designing and evaluating experiments. • Entrepreneurial attitude, demonstrating ownership and problem-solving initiative. Nice-to-Have Skills: • Experience designing RAG solutions and working with vector databases. • Hands-on experience with LLM fine-tuning, model quantization, and self-hosting. • Awareness of LLM-related security concerns, such as prompt injection and data poisoning.",https://my.jobstreet.com/job/82535599?type=standard&ref=search-standalone&origin=jobCard#sol=bae0d4e35365df723f88b944827a79044c21f436
Programmer - Machine Learning,ACGT Sdn Bhd,"Bukit Jalil, Kuala Lumpur",Developers/Programmers (Information & Communication Technology),Full time,,"Responsibilities: Design and implement cloud solutions and CICD pipelines, build MLOps on Azure platform. Run code refactoring and optimization, containerization, deployment, versioning and monitoring of its quality. Work with the data science team to research, develop, evaluate and optimize various models using different machine learning algorithms for problem solving or process optimisation. Execute projects involving machine learning algorithm for computer vision applications using learners such as neural networks, clustering, segmentation, object detection, tracking. Design the self-running applications and software that makes use of that data and automates predictive models. Requirements: BSc. or MSc. or Ph.D. in Mathematics, Computer Science, Data Science, Machine Learning, Artificial Intelligence or related fields provided they have a strong technical knowledge and experience in machine learning. Experience in design and implement Azure cloud-based solution and services. Proficient in programming and scripting skills (Python and R). Proficient in machine learning framework such as scikit-learn, pandas, TensorFlow or Keras. Experience in Geo-spatial analytical skills and GIS python library (GDAL, ArcPy, Geopandas, etc.) is a plus. Excellent interpersonal skills, team player, resourceful and has strong analytical skills. Good communication and written in English.",https://my.jobstreet.com/job/82029585?type=standard&ref=search-standalone&origin=jobCard#sol=0bcc8987d8fbd730698142d0c3396f5dd0fed1a2
AI Engineers,TORAY MALAYSIA SYSTEMS SOLUTION SDN. BHD.,"Perai, Penang",Engineering - Software (Information & Communication Technology),Full time,"RM 3,800 – RM 5,500 per month","Job Description: • To perform activities of requirement gatherings and producing specifications for new or modified features, products, and capabilities, aligned with the organization standards. • Expected to participate in and carry out projects to research, develop, testing and deploy machine learning algorithms and predictive models. • Create /enhance scalable machine learning algorithm, predictive model using AI Tools. • Transforming the machine learning models into APIs that other applications can interact with. • Integrate, test, tunes, monitor and support AI related model and APIs. • Explaining the usefulness of the AI models created to a wide range of individuals within the organization. • To accomplish projects or given tasks within the estimated timeframe. • Produce high-quality documentation. • Report status and issues to the Project Manager(s). • Support any others ad hoc IT duties assigned. Requirements: • Bachelor’s degree in Computer Science or Engineering (Electrical / Electronic) or equivalent • 1-2 Years’ experience in programming (C#, python, SignalR, MVC), SQL, relational databases, software development and AI architecture and systems • Strong problem-solving and analytical skill. • Exposure to AI related technologies such ML Platform, model training environment & AI framework • Process analysis, design, implementation, problem solving, system testing (UAT) and bug fixes • Team player with ability to work in a team and individual contributor • Good interpersonal and communication skills in English • Ability to learn and ramp up quickly on emerging technologies is an added plus.",https://my.jobstreet.com/job/82089831?type=standard&ref=search-standalone&origin=jobCard#sol=348c088201010a8c509ecba6ca032c3eefc7cb20
Machine Learning AI Engineer,Mesinkira SB,Kuala Lumpur,Engineering - Software (Information & Communication Technology),Full time,,"We are seeking an experienced Machine Learning Engineer with a strong background in the AWS ecosystem and proficiency in building front-end applications using AWS tools like AWS Amplify. The ideal candidate will have hands-on experience working with large datasets, developing ETL pipelines, and rapidly rolling out cutting-edge ML/AI prototypes. This role combines expertise in machine learning, cloud technologies, and user-friendly interfaces to deliver innovative, scalable solutions. Responsibilities ● Design, develop, and deploy machine learning models and workflows using AWS services such as SageMaker, Lambda, Glue, and Step Functions. ● Build and maintain ETL pipelines using AWS Glue, Athena, S3, and related services to process large volumes of structured and unstructured data. ● Rapidly develop and deploy ML/AI prototypes and proof-of-concept applications to address evolving business needs. ● Create and manage front-end applications using AWS Amplify, integrating with backend services like API Gateway, AppSync, and DynamoDB. ● Optimize ML models and data pipelines for performance, scalability, and cost-efficiency on AWS infrastructure. ● Collaborate with data engineers, scientists, and business teams to gather requirements and translate them into practical machine learning solutions. ● Monitor and troubleshoot deployed models and data workflows using tools like Amazon CloudWatch and SageMaker Model Monitor. ● Ensure security, scalability, and compliance of data and applications in alignment with AWS best practices. Requirements ● Bachelor’s or Master’s degree in Computer Science, Data Science, Machine Learning, or a related fi eld. ● 4-6 years of experience in machine learning and AWS cloud technologies. ● Profi ciency in building ETL pipelines and handling large datasets in a cloud environment. ● Hands-on experience with AWS SageMaker for model training, deployment, and optimization. ● Strong expertise in AWS Amplify for front-end application development. ● Demonstrated experience in rapidly prototyping and deploying cutting-edge ML/AI applications. ● Proficiency in Python, JavaScript, or TypeScript. ● In-depth knowledge of AWS services, including DynamoDB, S3, Lambda, API Gateway, and IAM. ● Familiarity with CI/CD pipelines using AWS CodePipeline and CodeBuild. ● Experience with ML frameworks such as TensorFlow, PyTorch, or Scikit-learn. ● Must be certifi ed in any one of the following certifi cations: ○ AWS Machine Learning Engineer (Associate/Specialty) ○ AWS Solutions Architect (Associate/Professional) ○ AWS Developer (Associate)",https://my.jobstreet.com/job/82484475?type=standard&ref=search-standalone&origin=jobCard#sol=199c4454e6078051056d7aa41e3fae4231d91370
Associate Data Scientist (Hybrid Working),SEEK,Kuala Lumpur,"Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,,"Company Description About SEEK SEEK operates market-leading online employment marketplaces, including Jobstreet and Jobsdb in Asia. SEEK has been helping people live more fulfilling and productive working lives and helping organisations succeed for over 25 years. Founded and headquartered in Melbourne, Australia, SEEK has grown into a multinational technology company with over 3,300 employees and is listed on the Australian Securities Exchange. SEEK’s presence spans Australia, New Zealand, Hong Kong, Indonesia, Malaysia, the Philippines, Singapore and Thailand. Additionally, SEEK has minority investments in employment marketplaces in China, South Korea and Bangladesh. SEEK develops and applies innovative data and technology tools to facilitate high-quality matching and improve reliability of marketplace information. In 2021, 2022, 2023 and 2024, SEEK was recognised as one of Australia’s Top Ten Places to Work in Technology in the AFR BOSS Best Places to Work awards. SEEK was also named a 5-Star Employer of Choice by HRD Asia in 2024 and won four accolades at TalentCorp’s Life at Work Awards 2023 in Malaysia. Job Description The Role We are looking for a multifaceted and talented individual to join our team as an Associate Data Scientist. You will be a mixture of a Data Scientist, Researcher, and a Machine Learning Engineer, working with and learning from a cross functional squad of Product Managers, Data Scientists and Engineers. Successful performance in this role will be demonstrated through helping develop and deploy AI solutions which will support SEEK products such as Recommendations and Search Engines. We are looking for someone who is passionate about understanding human behavior for building and improving internet-scale products informed by data. Key Responsibilities Gathering, validating and understanding data to explore and tackle business problems. Help research, build, deploy and maintain Recommendations AI solutions coordinated with recruitment products striving to accurately connect candidates to recruiters. Participating in building models to improve the chances of matching (job placements) to demonstrate our AI platform to the next level. Collaborate with team members across Strategy, Product, Data Science and Software Development teams to address a variety of ambitious business problems.. Participate in the formulation, development, deployment, and testing of new solutions Qualifications Essential Qualifications, Skills and Experience Strong analytical and problem solving skills. Knowledge of machine learning algorithms, model tuning, data science concepts. Ability to perform data exploratory analysis. Good data extraction and processing skills using SQL, Python. Able to write serviceable code (e.g. Scala, Go, Python, Spark). Good communication and interpersonal skills. Other Qualifications, Skills and Experience A post-graduate qualification in a quantitative discipline (eg. Physics, Mathematics, Computer Science) Ability to adapt quickly and manage an environment of rapid change and development Knowledge in: Recommender Systems Data Mining Natural Language Processing Optimization Additional Information The Team The Artificial Intelligence Platform Services (AIPS) is structured into cross-disciplinary squad with members from Data Science, Strategy and Engineering who work together to research, design, build and support end-to-end machine learning based products delivering direct value to hirers and job seekers. Why SEEK This is a permanent role We are a collaborative and mature work culture Hybrid work mode Extensive employee benefits At SEEK, we are passionate about fostering a culture of inclusion and wellbeing that embraces and values the diversity of our people. We are a purpose driven business that works with heart. We know teams with diverse ideas, experiences and perspectives are more creative and are critical to ensuring effective delivery and innovating to enable our future success. As such, we welcome applications from people with diverse backgrounds and life experiences, especially as they relate to gender, sexual identity, culture, faith, disability and life stages. If you have the skills, curiosity and an adaptable mindset but don't meet every responsibility or qualification listed in this advertisement, please still get in touch with us. Should you require any specific support or adjustments throughout the recruitment process and beyond, please advise us and we will be happy to assist. SEEK kindly requests no unsolicited resumes or approaches from recruitment agencies and will not be responsible for any associated fees.",https://my.jobstreet.com/job/82265410?type=standard&ref=search-standalone&origin=jobCard#sol=2cb3e29b0a581a3448b751f0987b338b21125c3b
Machine Learning Engineer,SNSOFT SDN. BHD.,"Bangsar South, Kuala Lumpur",Engineering - Software (Information & Communication Technology),Full time,"RM 8,000 – RM 11,000 per month","Company Introduction: At SNSoft, we're at the forefront of technological advancement, integrating cutting-edge solutions into everyday life. Our culture thrives on innovation, collaboration, and a commitment to excellence. We foster an inclusive environment where every team member's contribution is valued and where everyone has the opportunity to grow. Benefits and Compensation: Competitive salary range (MYR6,000- MYR10,000 per month, depending on experience). Project Incentive (upon Company Declaration based on project performance) Transport, Meal, Birthday Allowances (upon Confirmation) Sports Activities (Badminton & Basketball), Company Outing Training and certification sponsored by company (Selected employees). Optical, Dental, Body Check Up Claim (upon Confirmation) Job Summary: As a Machine Learning Engineer, your responsibilities will include designing, developing, and deploying machine learning models and algorithms to address complex challenges and improve our products and services. Additionally, you will play a key role in AI-enhanced customer service. You will collaborate closely with data scientists, software engineers, and domain experts to implement state-of-the-art machine learning solutions. Key Responsibilities: Model Development: Design, build, and maintain scalable machine learning models and algorithms. Data Analysis: Analyze and preprocess data from various sources to prepare it for model training. Model Training & Evaluation: Train, validate, and tune machine learning models to achieve optimal performance. Deployment: Deploy models into production and integrate them with existing systems. Monitoring & Maintenance: Monitor model performance in production and update models as necessary to ensure they remain accurate and relevant. Collaboration: Work with cross-functional teams, including data scientists, software engineers, and product managers, to understand requirements and deliver solutions. Research: Stay current with the latest developments in machine learning and AI to continuously improve our technology stack. Required Qualifications: Education: Bachelor’s or Master’s degree in Computer Science, Engineering, Mathematics, Statistics, or a related field. Experience: Demonstrated at least 3 years experience as a Machine Learning Engineer or in a similar role. Programming Skills: Expertise in programming languages such as Python, golang, or Java. Machine Learning Frameworks: Proficient with machine learning frameworks and libraries like TensorFlow, PyTorch, JAX, scikit-learn, or equivalent. Data Management: Strong understanding of data management and processing tools such as SQL, Hadoop, Spark, etc. Problem-Solving: Exceptional analytical and problem-solving abilities. Data Analysis Tools: Skilled in using data analysis and visualization tools like NumPy, Pandas, and Matplotlib. NLP Experience: Familiarity with natural language processing concepts and large language models, including transformers and attention mechanisms. Preferred Qualifications: Advanced Education: Ph.D. in a relevant field. Domain Knowledge: Experience in specific domains such as natural language processing (NLP), recommendation systems, computer vision, etc. Big Data: Experience with big data technologies and distributed computing. Cloud Services: Familiarity with cloud platforms such as AWS, Google Cloud, or Azure. DevOps: Knowledge of CI/CD pipelines and tools for automating the deployment of machine learning models.",https://my.jobstreet.com/job/82190803?type=standard&ref=search-standalone&origin=jobCard#sol=fbbb315789a7aec5fcb00106ede7154c1ab050fa
AI Engineer - Campus Hire 2025,Lenovo,"Petaling Jaya, Selangor",Engineering - Software (Information & Communication Technology),Full time,,"Responsibilities: Participate in the implementation and delivery of AI projects, and design and implement corresponding AI solutions for different business scenarios. Improve and optimize existing AI algorithms and models to improve their performance and efficiency. Explore AI innovation and application. Qualification: Educational Background: Bachelor's or Master's degree in Computer Science, Information Technology, Statistics, Mathematics, or a related field. Skill Requirements: Familiar with machine learning and deep learning algorithms, Good programming ability, proficient in Python, and experience in AI project development is preferred. Strong learning ability with a willingness to quickly grasp new tools and technologies. Good communication skills and team spirit.",https://my.jobstreet.com/job/82614257?type=standard&ref=search-standalone&origin=jobCard#sol=be90c92056f6bf965d632525fc900fec70c720fb
