Job Title,Company Name,Location,Sector,Job Type,Salary,Job Responsibilities,URL Link
IT Software Developer,GHL Systems Berhad,"Bukit Jalil, Kuala Lumpur",Developers/Programmers (Information & Communication Technology),Full time,"RM 4,000 – RM 6,000 per month","Job Responsibilities: - Coding, testing and debugging programs according to computer engineering specifications. Modifying, expanding and updating applications. Communicating with a team that includes analysts, engineers and quality assurance testers to coordinate and document application development and testing. Developing software prototypes. Assist in any ad-hoc tasks as and when is assigned by immediate superior. Job Requirements: - At least 2 to 3 years of programming experience in the related field is required for this position. Need to be detail-oriented with excellent problem-solving, troubleshooting and analytical abilities. Possess good communication skills and be able to work independently as part of a development team. Applicant must possess at least a Bachelor’s Degree in Computer Science or equivalent but may accept a 2-year technical degree if combined with several years of practical experience. Programming skills in languages and frameworks such as Android, C#/C++, HTML, Java/Java Enterprise Edition, Microsoft .NET and SQL. Knowledge of EFTPOS, Credit Card Systems would be an advantage. Able to work independently with minimal supervision and a good team player. Applicant must be willing to work in Technology Park Malaysia (TPM), Bukit Jalil. Education Requirements: - Candidate must possess with a minimum of Bachelor's Degree, Post Graduate Diploma, Professional Degree in Computer Science or Information Technology or Software Engineering or any other equivalent qualifications. Fresh graduates are encouraged to apply as training will be provided. How this career will benefit you? Training for good career development. Attractive remuneration package (medical, insurance, etc).",https://my.jobstreet.com/job/82514079?type=standard&ref=search-standalone&origin=jobCard#sol=9e37c104186798d088f922970ebe83817fb09582
Graduate Software Engineer / Developer,FootfallCam,Kuala Lumpur,Engineering - Software (Information & Communication Technology),Full time,"RM 3,800 – RM 5,700 per month","This is for people that are passionate in programming, that wanted to build a career in hardcore programming, optimizing bit by bit. You will have opportunities to learn different programming languages and working in large projects. People who are keen to know and make use of Object Oriented Principle, Domain Driven Design, Test Driven Development, you are welcomed to apply this. If you are fresh graduate, this role is for you to get the fundamental right, you will be put under guidance of senior engineer for 3 to 6 months, day to day operation, handling customer requirement, projects delivery, testing of software, familiarize with environment, and tools. Join our dynamic team and be part of a fast-paced environment where you'll have the opportunity to learn and grow your skills in cutting-edge technologies. What you'll do: Develop diverse applications: Be involved in the creation of web, mobile, and desktop applications to meet various needs. Enhance data insights: Contribute to the development of metrics, data enrichment, and widgets to provide valuable insights. Create user-friendly interfaces: Design and build dashboards, reports, and configuration pages that simplify user navigation. Continuously improve: Collaborate with our team to enhance our product experience and deliver exceptional solutions. Required skills and experience: Strong understanding of HTML, CSS, and JavaScript Experience with popular frameworks like jQuery, Angular, and React Knowledge of mobile app development (Android or iOS) Familiarity with RESTful APIs Proficiency in programming languages such as C#, Python, or Java A passion for learning new technologies and solving complex problems Prefer graduates from Computer Science, Software Engineering, Information System, Electronic and Electrical, Mechatronic, Information Technology and related courses. Possible career opportunities after completed 2 years of training: Back End Developer, Front End Developer, Web Developer, Mobile App Developer, .NET Developer, Full Stack Developer, Image Processing Specialist, Data Scientist, Support Engineer, System Analyst, IoT, Database Administrator, Data Engineer, Software Developer, DevOps Engineer, Embedded Software Engineer Data Analyst ,Big Data, Computer Science ,IT ,AI ,System Analyst ,Business Analyst ,Information Technology ,Programming ,Programmer ,C# ,Data Science ,Fresh Graduate ,Database Administrator ,DBA ,Software Engineer, Software Developer ,IoT ,Cloud Computing ,Web Development ,Frontend ,HTML ,Java ,Python ,Full Stack ,Image Processing ,Artificial Intelligence ,Intelligent System ,Networking ,Application ,Firmware ,Embedded, Power BI",https://my.jobstreet.com/job/82130214?type=standard&ref=search-standalone&origin=jobCard#sol=883b644e5718c3cf6d6e32d337483c96f5485a91
PHP Software Developer,I Assist (M) Sdn Bhd,"Cheras, Kuala Lumpur",Developers/Programmers (Information & Communication Technology),Full time,"RM 3,500 – RM 5,000 per month",Responsibilities PHP Software development (coding) Research and development Willing to work over time as required Personalities: Discipline Good time management Good Logic Able to work independently Employees Benefits: Parking Allowance Project Allowance Certification training Year-End Bonus,https://my.jobstreet.com/job/82537623?type=standard&ref=search-standalone&origin=jobCard#sol=16d74e18b67067bd08e02c70b85f8a86cecedcb3
Software Developer (Web),Agmo Studio Sdn Bhd,"Petaling Jaya, Selangor",Developers/Programmers (Information & Communication Technology),Full time,"RM 4,000 – RM 6,000 per month","About our team and mission Our goal is to turn designs into intuitive user experiences, using the latest technologies to deliver high-quality work. We actively share our expertise to empower each team member and prepare them for advanced roles. If you share our passion for technology and strive to take on complex challenges, we want you to join us in creating outstanding web experiences. Who are we looking for? Enthusiastic about the intersection of technology, business, and user experience. Ability to work independently to develop creative solutions to complex problems Excited to be part of a team that builds products used by people around the world. Be open, communicative, and enjoyable to work with If you're someone who shares our passion for technology and user experience, and you're interested in becoming a part of our team, we'd love to hear from you! Responsibility Develop and maintain web applications using modern web frameworks. Responsible for converting the designer design into a web-based interface. Development of features to improve the user experience. Effectively write and implement high reusability and maintainability code into new or existing systems. Staying up to date on emerging technologies. Developing positive cultures, giving positive feedback and constructive criticism to help everyone grow as one Our personal goals could be Design Implementation Expert: We're looking for someone who can work closely with our designers to create effective solutions that meet the needs of our users and fit within our project timelines. If you have experience implementing designs and can adapt your work to changing circumstances, we want you on our team. Collaboration Expert: We're seeking an individual who can work seamlessly with team members from different departments to create a positive team dynamic. If you're someone who can communicate effectively and build strong relationships, we'd love to hear from you. Learning and Growth Expert: We're committed to staying up-to-date with the latest web development technologies, and we're looking for someone who can help us grow together as a team. If you're someone who is constantly learning and can share that knowledge with others in the company, we'd love to have you on our team. Positive Culture Development Expert: We value a positive work culture and we're looking for someone who can help us build and maintain that culture. If you're someone who can give constructive feedback and help everyone on the team grow and learn together, we'd love to hear from you. Qualification guidelines Degree or diploma in an IT-related field. Strong experience in web development and related technologies (such as HTML, CSS, and Javascript). Proficiency in modern web frameworks, such as Angular, React, or Vue. Familiarity with source control tools such as Git. We welcome applicants to share examples of their past work with us to demonstrate how they can contribute to our team.",https://my.jobstreet.com/job/81958308?type=standard&ref=search-standalone&origin=jobCard#sol=6040d9ec1831dd6609959181cee2c006cf2cfec9
Junior Software Engineer (Java Developer),Private Advertiser,"Bangsar South, Kuala Lumpur",Developers/Programmers (Information & Communication Technology),Full time,"RM 5,000 – RM 7,000 per month","What you'll be doing? Backend Development: Complete the backend development of the company's products and implement business logic requirements with precision and efficiency. Documentation: Develop and write comprehensive development documentation following backend development processes and standards. Cross-Team Collaboration: Work closely with product, design, frontend, testing, and other teams to deliver high-quality development tasks on time. Technical Leadership: Participate in backend requirement reviews and technical solution design, continuously optimizing user experience and ensuring system stability and compatibility. Who are they looking for? Educational Background: A degree in Computer Science, Software Engineering, or a related field. Experience: At least 1 year of relevant experience in Java development. Language Proficiency: Fluency in Bahasa Malaysia, English, and Mandarin is essential for effective communication within the team and with clients. Technical Expertise: Proficiency in NestJS, MongoDB, NodeJS, Java, and TypeScript is required to excel in this role. Why you should consider this opportunity? 13th Month Salary: Enjoy an additional month's pay annually Comprehensive Medical Coverage: Including dental and optical claims Medical Insurance: Ensuring your health and well-being Team Building Activities: Foster strong relationships with colleagues Company Trip: Experience exciting destinations with your team Ready to join this role? Click Apply now to submit your resume and share your availability and expected salary with us! We value diversity and encourage applicants from all backgrounds to apply, regardless of their personal characteristics or experiences. All information received will be kept strictly confidential and will be used only for employment-related purposes.",https://my.jobstreet.com/job/82496285?type=standard&ref=search-standalone&origin=jobCard#sol=a3a372c52f9994e4c743cad773c5c62bb031332d
Fresh Grad Program - Software Developer (.NET),Avanade Malaysia Sdn Bhd,Kuala Lumpur,Developers/Programmers (Information & Communication Technology),Full time,"RM 3,800 per month","Introduction: Shape the future with code, conquer cloud tech, and unleash innovation! Come join us: As a Back-End Developer in our Software Engineering team, you will focus on designing and developing mission-critical enterprise solutions and other customer application development projects. With the agility and energy of a start-up, backed by the resources of Accenture and the Microsoft Platform, you’ll collaborate with a strong development community who thrive on turning ideas and innovations into breakthrough results for leading organizations around the globe. Ultimately, we’re not just making business better. We’re making life better for our client partners and their customers. Together we do what matters. What you’ll do: Work with team members to gather and interpret user/system requirements into design specifications. Design and code applications to functional and technical programming standards. Develop system specifications and interfaces for complex components. Create operational documentation for the application. Provide primary support for installation of application releases into production. Maintain applications according to SLAs. Work across the Service Delivery Lifecycle on engineering solutions for new system rollouts, major/minor enhancements, and/or ongoing maintenance of existing applications. Analyze, design, build, and/or test new components or enhancements to existing modules. Skills and experiences: .NET or C# or VB.NET (.NET family skills) SQL Server (some kind of Data management skill) Proficiency in HTML and JSP/ASP is desirable Good software development practices and software development life cycle methodologies throughout product development In-depth knowledge of computer languages, operating systems, DBMS. About you: Characteristics that can spell success for this role Your passion for technology is matched with good business sensibility and great interpersonal and communication skills in English. Some relevant internships or project experience will be advantageous. You have an eye on the future and keep up to date with emerging technologies. Additionally, you’ll also be comfortable in working on application development projects for our client who is a reputable business operating within the Alcohol, Tobacco, and Sanitary industry sector. Enjoy your career Some of the best things about working at Avanade Opportunity to work for Microsoft’s Global Alliance Partner of the Year (14 years in a row), with exceptional development and training (minimum 80 hours per year for training and paid certifications) Real-time access to technical and skilled resources globally Dedicated career advisor to encourage your growth Engaged and helpful coworkers genuinely interested in you Find out more about some of our benefits https://www.avanade.com/en-gb/career/benefits A great place to work As you bring your skills and abilities to Avanade, you’ll get distinctive experiences, limitless learning, and ambitious growth in return. As we continue to build our diverse and inclusive culture, we become even more innovative and creative, helping us better serve our clients and communities. You’ll join a community of smart, supportive collaborators to lift, mentor, and guide you, and to lean on your expertise. You get a company purpose-built for business-critical, leading-edge technology solutions, committed to improving the way humans work, interact, and live. It’s all here, so take a closer look! We work hard to provide an inclusive, diverse culture with a deep sense of belonging for all our employees. Visit our https://www.avanade.com/en-us/about-avanade/inclusion-and-diversity page. Create a future for our people that focuses on • Expanding your thinking • Experimenting courageously • Learning and pivoting Inspire greatness in our people by • Empowering every voice • Encouraging boldness • Celebrating progress Accelerate the impact of our people by • Amazing the client • Prioritizing what matters • Acting as one Learn more To learn more about the types of projects our Software Engineering team works on check out these case studies: https://www.avanade.com/en/clients/sportello-digitale-di-inail https://www.avanade.com/en/thinking/research-and-insights/avanade-presents/ai-powered-software-dev Interested in knowing what’s going on inside Avanade? Check out our blogs: https://www.avanade.com/en/blogs/avanade-insights https://www.avanade.com/en/blogs/inside-avanade",https://my.jobstreet.com/job/82222582?type=standard&ref=search-standalone&origin=jobCard#sol=c45593387fda1cb253042a1dffefca0b53f190d8
"Software Engineer, AI Model Training",Gear Inc.,Kuala Lumpur,Engineering - Software (Information & Communication Technology),Full time,"RM 5,000 – RM 7,000 per month","About the Opportunity: Gear Inc. is looking for talented coders to contribute to the development and training of Generative Artificial Intelligence (GenAI) models. This role offers flexibility, as you can work either as a full-time employee or a freelancer, with remote work options and flexible hours to suit your schedule. Responsibility: Develop and answer technical questions related to computer science to support GenAI model training. Evaluate and rank code generated by AI models, ensuring accuracy and efficiency. Desired Expertise: Currently enrolled in or holding a bachelors degree (or higher) in Computer Science from a selective institution. Proficiency in one or more of the following programming languages: Java, Python, JavaScript/TypeScript, C++, Swift, Verilog Excellent ability to explain complex technical concepts clearly and fluently. Exceptional attention to detail, including grammar, punctuation, and adherence to style guidelines.",https://my.jobstreet.com/job/82375515?type=standard&ref=search-standalone&origin=jobCard#sol=5ce97502e92110886d7bfa0073c49ed399796b57
SOFTWARE DEVELOPER,GLOBAL CONNECT RESOURCES SDN. BHD.,"Perai, Penang",Developers/Programmers (Information & Communication Technology),Full time,,"Are you passionate about coding, eager to learn, and ready to build awesome web applications? Join our team and kickstart your career in software development! 🌟 What You'll Do Work with cross-functional teams to design, develop, and deploy scalable web applications. Write clean, maintainable, and efficient code in Node.js. Debug, troubleshoot, and optimize existing applications. Participate in code reviews to ensure high-quality development. Stay updated with the latest industry trends and technologies. Continuously learn, grow, and improve your skills with our training programs. 📌 What We’re Looking For A Bachelor's degree in Computer Science, Software Engineering, or a related field (Fresh grads are highly encouraged to apply! Training provided!). Passion for coding and a drive to grow in the tech industry. Basic knowledge of JavaScript, Node.js, and Express. Familiarity with databases like Firebase and MySQL. Understanding of web development (HTML, CSS, JavaScript, and RESTful APIs). Experience with Git and version control. Strong problem-solving and communication skills. A team player with a positive attitude and a willingness to learn. 🕒 Work Schedule Monday - Friday (Weekends Off!) 8-hour shifts during office hours 🎁 Perks & Benefits Performance Bonus (Minimum One Month!) Extra 20% to Your Basic Salary if the team hits the company goal! Medical Coverage Remote Work Flexibility Paid Time Off (PTO) ✈ Yearly Workation (Work + Vacation!) Quarterly Team Building Activities (Fun & bonding time!) Training & Professional Development 📍 Location: Perai, Penang, Malaysia 🚀 Ready to launch your career with us? Apply now and hear from us fast!",https://my.jobstreet.com/job/82050246?type=standard&ref=search-standalone&origin=jobCard#sol=ad2c736f703fef7bf95f67ca8045356d8a5bc33e
Software Developer,DYNAFRONT SYSTEMS SDN. BHD.,Kuala Lumpur,Developers/Programmers (Information & Communication Technology),Full time,"RM 3,500 – RM 5,000 per month","You will be part of a productive team responsible for the development and maintenance of one or more of our current software products. You will work within an enterprise environment with state-of-art technologies. The opportunity to work with overseas clients, and will develop your international client exposure. Responsibilities: Produce clean, efficient code based on specifications. Integrate software components and third-party programs. Verify and deploy applications and systems. Troubleshoot, debug, and upgrade existing software. Gather and evaluate user feedback. Recommend and execute improvements. Create technical documentation. Requirements: BSc/BA in Computer Science, IT, or a related field. Familiarity with Agile & Scrum development methodologies. Familiar with software design and development. Proficient in development languages (Java, Rest Webservice, Spring, Vue JS, Angular, Dart, Camunda & Spring batch) and frameworks/systems (GIT). Experience with Java and/or Flutter is an added advantage. Ability to learn new languages and technologies. Excellent communication skills and team player. Resourcefulness and troubleshooting aptitude. Experience as a Software Developer or similar roles is an added advantage. Required years of experience 2 years. Fresh graduates are encouraged to apply.",https://my.jobstreet.com/job/82120176?type=standard&ref=search-standalone&origin=jobCard#sol=82edca543a84279039d6e653a2469eda3817844b
Software Engineer,Appspace (Malaysia) Sdn Bhd,Kuala Lumpur,Engineering - Software (Information & Communication Technology),Full time,,"About Appspace: At Appspace, we’re passionate about creating better work experiences for people everywhere, and we’re looking for people that feel the same way. Our global office locations and flexible work culture help you work wherever and however you’re at your best. Plus, we take the time to help you enjoy your work, build lasting connections, and grow your role. Join the Appspace team and be a part of a culture that’s helping people everywhere love where they work. Your Role as a Software Engineer : As a Software Engineer you will be responsible for developing and maintaining software codes in accordance with requirements and specifications, established or defined quality and performance standards, and within delivery timelines. A Day in the Life of a Software Engineer: To develop clean, readable and maintainable software codes:- According to requirements and specifications. Within established or defined quality and performance standards/benchmarks. Within agreed upon delivery timelines. Develop unit-testable codes with corresponding unit tests. Participate in consultation with the Development Lead in estimating effort for work assigned. Participate in initiatives that improve processes and/or procedures that contribute to performance effectiveness and efficiencies. Communicate work progress and all (work-related) pertinent information in an accurate and timely manner to the Development Lead. Any other duties as assigned What You’ll Need: Degree in Computer Science, Information Technology or related discipline At least 3 years of working experience in an agile software development environment. Significant commercial software development experience in C#.Net, Angular JS, Bootstrap, ASP.NET Core & Web API, NHibernate, Entity Framework and SQL. Positive and professional approach at all times. Good analytical and problem-solving skills. Initiative and ability to demonstrate a proactive approach to tasks. Good communication skills, both written and verbal. Ability to work under pressure and to deadlines. Ability to empathize with the customer’s viewpoint when designing and developing software. The Perks of Working for Appspace: For all our KL based team members, we offer a variety of benefits from competitive salaries, medical, dental and vision coverage, mental health resources, a 98-day maternity leave program and transport/parking allowance. Additional perks include: 20 Days PTO Flexible work schedules Remote work opportunities Paid company holidays A casual dress work environment A company provided laptop (choice of Mac, PC, Chromebook)",https://my.jobstreet.com/job/81865005?type=standard&ref=search-standalone&origin=jobCard#sol=dcef343bd69ad0f3b0b037e98eacb1c7b9f36980
Senior Software Engineer (Java Developer),Private Advertiser,"Bangsar South, Kuala Lumpur",Engineering - Software (Information & Communication Technology),Full time,"RM 6,000 – RM 8,000 per month","What you'll be doing? Backend Development: Complete the backend development of the company's products and implement business logic requirements with precision and efficiency. Documentation: Develop and write comprehensive development documentation following backend development processes and standards. Cross-Team Collaboration: Work closely with product, design, frontend, testing, and other teams to deliver high-quality development tasks on time. Technical Leadership: Participate in backend requirement reviews and technical solution design, continuously optimizing user experience and ensuring system stability and compatibility. Who are they looking for? Educational Background: A degree in Computer Science, Software Engineering, or a related field. Experience: At least 2 years of relevant experience in backend development. Language Proficiency: Fluency in Bahasa Malaysia, English, and Mandarin is essential for effective communication within the team and with clients. Technical Expertise: Proficiency in NestJS, MongoDB, NodeJS, Java, and TypeScript is required to excel in this role. Why you should consider this opportunity? Our client offers an attractive remuneration package and other benefits, such as: 13th Month Salary Medical/ Dental/ Optical Claim Medical Insurance Team Building Activity Company Trip Working Hour: 5 days work week Monday to Friday, 9am to 6 pm Ready to join this role? Click Apply now to submit your resume and share your availability and expected salary with us! We value diversity and encourage applications from candidates of all backgrounds and experiences. All information received will be kept strictly confidential and will be used only for employment-related purposes.",https://my.jobstreet.com/job/81951921?type=standard&ref=search-standalone&origin=jobCard#sol=cdd6ce2cb8be901edc3035a70c91ca51e751f808
Software Developer,Datamicron Systems Sdn Bhd,"Kuala Lumpur City Centre, Kuala Lumpur",Developers/Programmers (Information & Communication Technology),Full time,"RM 4,000 – RM 6,000 per month","DataMicron is a multi-award Big Data and AI company, with patented technologies in USA and China. We have extensive experience in developing products and full-scale solutions in the field of business intelligence, machine learning & AI, data engineering and front-end development. We have covered and implemented end-to-end Big Data Analytics solutions in eight countries across major public and private sector organizations, and are currently going through a large expansion in our business portfolio. We are seeking a skilled Software Developer with 2-3 years of experience to contribute to the design, development, and optimization of our software products. This role requires in-person collaboration; therefore, candidates must be either Malaysian or currently residing in the country. Responsibilities: Develop and implement high-quality, scalable software solutions based on project requirements. Collaborate with product managers, designers, and other developers to build and improve features. Write clean, efficient, and reusable code while adhering to best practices. Debug, troubleshoot, and resolve technical issues in a timely manner. Contribute to code reviews and ensure adherence to team standards. Stay up-to-date with emerging technologies and incorporate them where applicable. Requirements: Bachelor’s degree in Computer Science, Software Engineering, or a related field. 2-3 years of professional experience in software development. Proficiency in Java and/or dotnet c# Experience with frameworks/tools spring boot and/or dotnet core framework Solid understanding of software development principles, algorithms, and data structures. Familiarity with databases (example MySQL, PostgreSQL, MsSQL) and version control systems (e.g., Git and other). Strong analytical and problem-solving skills. Effective communication and collaboration skills. What We Offer: Medical Claim – We care about your health and well-being. Mileage Claim – Get reimbursed for work-related travel expenses. Career Growth – Great opportunities for career advancement within the company. Learning & Development – Continuous learning opportunities to enhance your skills.",https://my.jobstreet.com/job/81957515?type=standard&ref=search-standalone&origin=jobCard#sol=2b5dff93dea9fbd10a3a46ed6b66a38900e9448b
